player_id,mlbam_id,name_last,name_first,matched_by
bradlje01,605152,Bradley,Jed,key_bbref 직접 매칭
barrima01,110625,Barrios,Manuel,key_bbref 직접 매칭
martifr01,118336,Martin,Frank,key_bbref 직접 매칭
brownby01,111603,Browne,Byron,key_bbref 직접 매칭
darinro01,113051,Daringer,Rolla,key_bbref 직접 매칭
caligfr01,111880,Caligiuri,Fred,key_bbref 직접 매칭
hernali01,115817,Hernández,Liván,key_bbref 직접 매칭
kellywh01,818638,Kelly,W. H.,key_bbref 직접 매칭
korchst01,117263,Korcheck,Steve,key_bbref 직접 매칭
snydepo01,122501,Snyder,Pop,key_bbref 직접 매칭
suckto01,122925,Suck,Tony,key_bbref 직접 매칭
knudsma01,117218,Knudson,Mark,key_bbref 직접 매칭
sadleca02,594987,Sadler,Casey,key_bbref 직접 매칭
helfha01,115724,Helf,Hank,key_bbref 직접 매칭
ohkato01,219594,Ohka,Tomo,key_bbref 직접 매칭
scottja01,121937,Scott,Jack,key_bbref 직접 매칭
littlla01,117827,Littleton,Larry,key_bbref 직접 매칭
milleow01,680911,Miller,Owen,key_bbref 직접 매칭
lewisma01,117740,Lewis,Mark,key_bbref 직접 매칭
asencmi01,407900,Asencio,Miguel,key_bbref 직접 매칭
edmanto01,669242,Edman,Tommy,key_bbref 직접 매칭
thomaki01,123254,Thomas,Kite,key_bbref 직접 매칭
vasqujo01,430655,Vásquez,Jorge,key_bbref 직접 매칭
bradyne01,111361,Brady,Neal,key_bbref 직접 매칭
roachjo01,121259,Roach,John,key_bbref 직접 매칭
reynobi02,817576,Reynolds,Bill,key_bbref 직접 매칭
meekeja01,703231,Meeker,James,key_bbref 직접 매칭
castidi02,660636,Castillo,Diego,key_bbref 직접 매칭
gilesge01,819385,Giles,George,key_bbref 직접 매칭
kellybi02,116963,Kelly,Billy,key_bbref 직접 매칭
brannmi01,111391,Brannock,Mike,key_bbref 직접 매칭
bergmal01,110907,Bergman,Al,key_bbref 직접 매칭
hessege01,115869,Hesselbacher,George,key_bbref 직접 매칭
montaed01,119255,Montague,Ed,key_bbref 직접 매칭
thomabi01,123267,Thomas,Bill,key_bbref 직접 매칭
bakerje02,110478,Baker,Jesse,key_bbref 직접 매칭
currepe01,112952,Curran,John,key_bbref 직접 매칭
tebeapu01,123168,Tebeau,Pussy,key_bbref 직접 매칭
fordto01,114307,Ford,Tom,key_bbref 직접 매칭
smithbi04,122469,Smith,Bill,key_bbref 직접 매칭
tannele01,123087,Tannehill,Lee,key_bbref 직접 매칭
coffmsl01,112443,Coffman,George,key_bbref 직접 매칭
carrido01,112040,Carrithers,Don,key_bbref 직접 매칭
saboal01,121605,Sabo,Alex,key_bbref 직접 매칭
woulfji01,124589,Woulfe,Jimmy,key_bbref 직접 매칭
griffto01,115153,Griffith,Tommy,key_bbref 직접 매칭
mcgresl01,118729,McGrew,Slim,key_bbref 직접 매칭
doyleje02,113525,Doyle,Jeff,key_bbref 직접 매칭
maskrle01,118394,Maskrey,Leech,key_bbref 직접 매칭
russefr01,817402,Russell,Frank,key_bbref 직접 매칭
jonesa03,818695,Jones,Acey,key_bbref 직접 매칭
skopejo01,122302,Skopec,John,key_bbref 직접 매칭
xiquele01,816448,Xiqués,Leovigildo,key_bbref 직접 매칭
loganco01,818458,Logan,Coley,key_bbref 직접 매칭
smithda05,137203,Smith,Dan,key_bbref 직접 매칭
cessalu01,570666,Cessa,Luis,key_bbref 직접 매칭
cacekcr01,111852,Cacek,Craig,key_bbref 직접 매칭
dewalch01,113320,Dewald,Charlie,key_bbref 직접 매칭
washihe01,123963,Washington,Herb,key_bbref 직접 매칭
valdeju01,123602,Valdez,Julio,key_bbref 직접 매칭
meledu01,118928,Mele,Dutch,key_bbref 직접 매칭
penato03,430963,Peña,Tony,key_bbref 직접 매칭
walkuji02,123847,Walkup,Jim,key_bbref 직접 매칭
