game_pk,season,game_date,league,home_team,away_team,home_strength,away_strength,home_sp_era,away_sp_era,home_rest,away_rest,home_last10,away_last10,y_home_win
718780,2023,2023-03-30,mlb,WSN,ATL,40.88283012079975,63.847983611293685,5.2,2.55,,,,,0.0
717158,2023,2023-08-02,mlb,COL,SDP,40.803785600090585,47.896637273871,5.03,3.43,0.0,0.0,0.4,0.6,0.0
717161,2023,2023-08-02,mlb,SEA,BOS,49.02919211539274,47.295496550395896,3.73,4.04,0.0,0.0,0.6,0.6,1.0
717159,2023,2023-08-02,mlb,MIA,PHI,44.96868169547329,52.042264664363394,3.66,3.61,0.0,0.0,0.4,0.6,1.0
717160,2023,2023-08-02,mlb,NYY,TBR,43.555057943600616,50.04796368550927,2.63,3.29,0.0,0.0,0.5,0.6,1.0
717157,2023,2023-08-02,mlb,TOR,BAL,48.81365443114781,48.236146371587125,3.86,4.35,0.0,0.0,0.5,0.7,1.0
717155,2023,2023-08-02,mlb,STL,MIN,45.332448715953014,46.9927878392028,4.98,4.51,0.0,0.0,0.3,0.5,1.0
717153,2023,2023-08-02,mlb,CHC,CIN,49.69176903948828,44.78260134821402,5.0,4.46,0.0,0.0,0.8,0.6,1.0
717152,2023,2023-08-02,mlb,TEX,CHW,53.49300527607529,37.820530657144026,3.7,4.58,0.0,0.0,0.3,0.2,1.0
717156,2023,2023-08-02,mlb,KCR,NYM,41.450972950495625,46.1675921482945,3.47,2.98,0.0,0.0,0.5,0.5,1.0
717164,2023,2023-08-02,mlb,SFG,ARI,41.21396826950983,46.61703093617329,3.25,4.33,0.0,0.0,0.5555555555555556,0.3,1.0
717154,2023,2023-08-02,mlb,LAD,ATH,52.881054097750265,36.13080527686773,4.98,7.14,0.0,0.0,0.5,0.3,1.0
717147,2023,2023-08-03,mlb,MIA,PHI,44.96868169547329,52.042264664363394,6.02,4.18,0.0,0.0,0.5,0.6,0.0
717149,2023,2023-08-03,mlb,TEX,CHW,53.49300527607529,37.820530657144026,3.77,4.97,0.0,0.0,0.4,0.2,1.0
717148,2023,2023-08-03,mlb,KCR,NYM,41.450972950495625,46.1675921482945,5.52,6.8,0.0,0.0,0.6,0.4,1.0
717150,2023,2023-08-03,mlb,TOR,BAL,48.81365443114781,48.236146371587125,3.16,4.99,0.0,0.0,0.6,0.6,0.0
717163,2023,2023-08-02,mlb,HOU,CLE,52.26159782076136,39.04999341574157,4.5,2.98,0.0,0.0,0.6,0.4,1.0
717151,2023,2023-08-03,mlb,SFG,ARI,41.21396826950983,46.61703093617329,4.66,5.72,0.0,0.0,0.6666666666666666,0.3,1.0
717162,2023,2023-08-02,mlb,WSN,MIL,40.88283012079975,44.26372698544554,4.42,3.14,0.0,0.0,0.5,0.4,1.0
717165,2023,2023-08-02,mlb,ATL,LAA,63.847983611293685,44.88797413928977,5.4,4.88,0.0,0.0,0.6,0.5555555555555556,1.0
717182,2023,2023-08-01,mlb,MIA,PHI,44.96868169547329,52.042264664363394,4.14,4.18,0.0,0.0,0.4,0.5,0.0
717178,2023,2023-08-01,mlb,PIT,DET,41.66652411136119,41.6807004965427,4.31,3.58,1.0,1.0,0.6,0.25,1.0
717175,2023,2023-08-01,mlb,NYY,TBR,43.555057943600616,50.04796368550927,6.85,3.5,0.0,0.0,0.5,0.5,0.0
717183,2023,2023-08-01,mlb,WSN,MIL,40.88283012079975,44.26372698544554,3.91,3.86,0.0,0.0,0.6,0.3,0.0
717177,2023,2023-08-01,mlb,TOR,BAL,48.81365443114781,48.236146371587125,3.46,2.83,0.0,0.0,0.5,0.6,0.0
717176,2023,2023-08-01,mlb,ATL,LAA,63.847983611293685,44.88797413928977,3.86,4.11,0.0,0.0,0.6,0.6666666666666666,1.0
717174,2023,2023-08-01,mlb,STL,MIN,45.332448715953014,46.9927878392028,4.78,3.66,1.0,1.0,0.3,0.4,0.0
717173,2023,2023-08-01,mlb,CHC,CIN,49.69176903948828,44.78260134821402,3.06,5.38,0.0,0.0,0.8,0.7,1.0
717168,2023,2023-08-01,mlb,TEX,CHW,53.49300527607529,37.820530657144026,4.15,5.29,1.0,1.0,0.3,0.3,1.0
717172,2023,2023-08-01,mlb,HOU,CLE,52.26159782076136,39.04999341574157,3.45,3.29,0.0,0.0,0.6,0.5,1.0
717170,2023,2023-08-01,mlb,KCR,NYM,41.450972950495625,46.1675921482945,5.06,3.57,1.0,1.0,0.4,0.5,1.0
717169,2023,2023-08-01,mlb,COL,SDP,40.803785600090585,47.896637273871,5.36,3.22,0.0,0.0,0.5,0.6,0.0
717167,2023,2023-08-01,mlb,SEA,BOS,49.02919211539274,47.295496550395896,4.32,4.24,0.0,0.0,0.7,0.5,0.0
717180,2023,2023-08-01,mlb,SFG,ARI,41.21396826950983,46.61703093617329,3.87,3.47,0.0,0.0,0.4444444444444444,0.3,1.0
717171,2023,2023-08-01,mlb,LAD,ATH,52.881054097750265,36.13080527686773,5.73,5.36,1.0,1.0,0.4,0.4,1.0
717166,2023,2023-08-02,mlb,PIT,DET,41.66652411136119,41.6807004965427,5.86,3.3,0.0,0.0,0.6,0.25,0.0
717142,2023,2023-08-03,mlb,NYY,HOU,43.555057943600616,52.26159782076136,4.64,4.56,0.0,0.0,0.5,0.7,1.0
717143,2023,2023-08-03,mlb,MIL,PIT,44.26372698544554,41.66652411136119,4.12,4.21,0.0,0.0,0.3,0.6,1.0
717145,2023,2023-08-03,mlb,STL,MIN,45.332448715953014,46.9927878392028,5.25,2.79,0.0,0.0,0.4,0.4,0.0
717124,2023,2023-08-05,mlb,TEX,MIA,53.49300527607529,44.96868169547329,4.12,3.81,0.0,0.0,0.5,0.4,1.0
717120,2023,2023-08-05,mlb,CIN,WSN,44.78260134821402,40.88283012079975,3.87,6.45,0.0,0.0,0.4,0.6,0.0
717125,2023,2023-08-05,mlb,BOS,TOR,47.295496550395896,48.81365443114781,3.86,3.65,0.0,0.0,0.5,0.5,0.0
717123,2023,2023-08-05,mlb,PHI,KCR,52.042264664363394,41.450972950495625,3.44,5.69,0.0,0.0,0.6,0.8,1.0
717114,2023,2023-08-05,mlb,BAL,NYM,48.236146371587125,46.1675921482945,4.73,4.7,0.0,0.0,0.6,0.4,1.0
717117,2023,2023-08-05,mlb,ATH,SFG,36.13080527686773,41.21396826950983,4.43,5.36,1.0,1.0,0.3,0.7777777777777778,1.0
717118,2023,2023-08-05,mlb,MIN,ARI,46.9927878392028,46.61703093617329,4.23,5.31,0.0,0.0,0.4,0.3,1.0
717115,2023,2023-08-05,mlb,CLE,CHW,39.04999341574157,37.820530657144026,6.5,5.43,0.0,0.0,0.5,0.2,0.0
717116,2023,2023-08-05,mlb,MIL,PIT,44.26372698544554,41.66652411136119,3.39,5.36,0.0,0.0,0.3,0.6,1.0
717119,2023,2023-08-05,mlb,STL,COL,45.332448715953014,40.803785600090585,3.86,5.54,0.0,0.0,0.3,0.4,1.0
717112,2023,2023-08-05,mlb,SDP,LAD,47.896637273871,52.881054097750265,2.25,6.13,0.0,0.0,0.6,0.6,1.0
717109,2023,2023-08-05,mlb,LAA,SEA,44.88797413928977,49.02919211539274,5.43,3.35,0.0,0.0,0.3333333333333333,0.8,0.0
717108,2023,2023-08-06,mlb,CLE,CHW,39.04999341574157,37.820530657144026,4.07,5.29,0.0,0.0,0.4,0.3,0.0
717107,2023,2023-08-06,mlb,BAL,NYM,48.236146371587125,46.1675921482945,2.83,3.57,0.0,0.0,0.7,0.3,1.0
717111,2023,2023-08-06,mlb,BOS,TOR,47.295496550395896,48.81365443114781,3.2,3.6,0.0,0.0,0.4,0.6,0.0
717121,2023,2023-08-05,mlb,CHC,ATL,49.69176903948828,63.847983611293685,3.05,3.81,0.0,0.0,0.7,0.7,1.0
717122,2023,2023-08-05,mlb,DET,TBR,41.6807004965427,50.04796368550927,2.8,3.46,0.0,0.0,0.25,0.6,1.0
717126,2023,2023-08-05,mlb,NYY,HOU,43.555057943600616,52.26159782076136,4.97,3.22,0.0,0.0,0.4,0.6,1.0
717129,2023,2023-08-04,mlb,SDP,LAD,47.896637273871,52.881054097750265,4.56,3.76,1.0,0.0,0.6,0.5,0.0
717146,2023,2023-08-03,mlb,CHC,CIN,49.69176903948828,44.78260134821402,4.84,6.4,0.0,0.0,0.8,0.5,1.0
717144,2023,2023-08-03,mlb,LAA,SEA,44.88797413928977,49.02919211539274,3.14,4.21,0.0,0.0,0.5555555555555556,0.6,0.0
717137,2023,2023-08-03,mlb,LAD,ATH,52.881054097750265,36.13080527686773,4.6,4.54,0.0,0.0,0.5,0.3,1.0
717141,2023,2023-08-04,mlb,CHC,ATL,49.69176903948828,63.847983611293685,3.74,2.55,0.0,1.0,0.8,0.6,0.0
717139,2023,2023-08-04,mlb,CIN,WSN,44.78260134821402,40.88283012079975,4.76,5.2,0.0,1.0,0.4,0.5,0.0
717135,2023,2023-08-04,mlb,DET,TBR,41.6807004965427,50.04796368550927,3.99,4.1,1.0,1.0,0.375,0.5,0.0
717134,2023,2023-08-04,mlb,BAL,NYM,48.236146371587125,46.1675921482945,4.12,5.03,0.0,0.0,0.6,0.4,1.0
717190,2023,2023-07-31,mlb,SFG,ARI,41.21396826950983,46.61703093617329,3.87,5.31,0.0,0.0,0.4444444444444444,0.2,0.0
717140,2023,2023-08-04,mlb,PHI,KCR,52.042264664363394,41.450972950495625,4.46,6.28,0.0,0.0,0.6,0.7,0.0
717136,2023,2023-08-04,mlb,BOS,TOR,47.295496550395896,48.81365443114781,4.5,5.87,1.0,0.0,0.6,0.5,0.0
717132,2023,2023-08-04,mlb,CLE,CHW,39.04999341574157,37.820530657144026,3.81,3.77,1.0,0.0,0.4,0.2,1.0
717133,2023,2023-08-04,mlb,TEX,MIA,53.49300527607529,44.96868169547329,3.2,3.58,0.0,0.0,0.5,0.5,1.0
717128,2023,2023-08-04,mlb,MIN,ARI,46.9927878392028,46.61703093617329,3.43,3.29,0.0,0.0,0.4,0.3,1.0
717131,2023,2023-08-04,mlb,MIL,PIT,44.26372698544554,41.66652411136119,4.55,7.74,0.0,0.0,0.4,0.5,0.0
717127,2023,2023-08-04,mlb,STL,COL,45.332448715953014,40.803785600090585,7.4,6.86,0.0,1.0,0.4,0.3,0.0
717130,2023,2023-08-04,mlb,LAA,SEA,44.88797413928977,49.02919211539274,4.48,3.34,0.0,0.0,0.4444444444444444,0.7,0.0
717138,2023,2023-08-04,mlb,NYY,HOU,43.555057943600616,52.26159782076136,6.65,5.09,0.0,0.0,0.5,0.6,0.0
717113,2023,2023-08-06,mlb,PHI,KCR,52.042264664363394,41.450972950495625,4.38,5.06,0.0,0.0,0.6,0.7,1.0
717181,2023,2023-07-31,mlb,SEA,BOS,49.02919211539274,47.295496550395896,3.35,4.04,0.0,0.0,0.7,0.5,1.0
717184,2023,2023-07-31,mlb,HOU,CLE,52.26159782076136,39.04999341574157,3.83,6.5,0.0,0.0,0.6,0.6,1.0
717241,2023,2023-07-27,mlb,NYM,WSN,46.1675921482945,40.88283012079975,2.98,3.91,0.0,0.0,0.5,0.6,1.0
717238,2023,2023-07-27,mlb,STL,CHC,45.332448715953014,49.69176903948828,4.78,3.06,0.0,0.0,0.6,0.7,0.0
717233,2023,2023-07-27,mlb,CHW,CLE,37.820530657144026,39.04999341574157,4.58,2.98,0.0,0.0,0.3,0.6,0.0
717236,2023,2023-07-28,mlb,MIA,DET,44.96868169547329,41.6807004965427,3.66,3.99,1.0,0.0,0.2,0.375,1.0
717234,2023,2023-07-28,mlb,PIT,PHI,41.66652411136119,52.042264664363394,4.21,3.61,1.0,1.0,0.4,0.5,0.0
717237,2023,2023-07-28,mlb,BAL,NYY,48.236146371587125,43.555057943600616,4.35,2.63,1.0,1.0,0.5,0.5,1.0
717235,2023,2023-07-28,mlb,TOR,LAA,48.81365443114781,44.88797413928977,3.16,4.88,1.0,0.0,0.5,0.7777777777777778,1.0
717230,2023,2023-07-28,mlb,NYM,WSN,46.1675921482945,40.88283012079975,3.77,4.42,0.0,0.0,0.6,0.6,1.0
717228,2023,2023-07-28,mlb,CHW,CLE,37.820530657144026,39.04999341574157,4.97,4.07,0.0,0.0,0.2,0.7,1.0
717231,2023,2023-07-28,mlb,ATL,MIL,63.847983611293685,44.26372698544554,5.4,4.12,1.0,1.0,0.3,0.6,1.0
717229,2023,2023-07-28,mlb,HOU,TBR,52.26159782076136,50.04796368550927,4.56,3.29,1.0,1.0,0.7,0.2,0.0
717232,2023,2023-07-28,mlb,KCR,MIN,41.450972950495625,46.9927878392028,5.52,2.79,1.0,1.0,0.2,0.6,1.0
717226,2023,2023-07-28,mlb,STL,CHC,45.332448715953014,49.69176903948828,3.2,4.63,0.0,0.0,0.5,0.8,0.0
717227,2023,2023-07-28,mlb,COL,ATH,40.803785600090585,36.13080527686773,5.03,4.54,1.0,1.0,0.5,0.3,0.0
717223,2023,2023-07-28,mlb,ARI,SEA,46.61703093617329,49.02919211539274,4.15,3.73,1.0,1.0,0.3,0.6,0.0
717224,2023,2023-07-28,mlb,SDP,TEX,47.896637273871,53.49300527607529,3.05,3.7,1.0,1.0,0.5,0.6,1.0
717243,2023,2023-07-27,mlb,DET,LAA,41.6807004965427,44.88797413928977,4.18,3.14,1.0,1.0,0.4444444444444444,0.7,0.0
717251,2023,2023-07-26,mlb,SFG,ATH,41.21396826950983,36.13080527686773,3.23,7.14,0.0,0.0,0.4444444444444444,0.3,1.0
717272,2023,2023-07-25,mlb,SFG,ATH,41.21396826950983,36.13080527686773,3.87,5.6,0.0,1.0,0.4444444444444444,0.3,1.0
717256,2023,2023-07-25,mlb,LAD,TOR,52.881054097750265,48.81365443114781,4.6,3.6,0.0,0.0,0.6,0.6,1.0
717257,2023,2023-07-26,mlb,WSN,COL,40.88283012079975,40.803785600090585,4.61,5.36,0.0,0.0,0.5,0.6,1.0
717252,2023,2023-07-26,mlb,TBR,MIA,50.04796368550927,44.96868169547329,3.5,4.14,0.0,0.0,0.3,0.1,0.0
717249,2023,2023-07-26,mlb,CLE,KCR,39.04999341574157,41.450972950495625,3.29,5.69,0.0,0.0,0.5,0.3,1.0
717250,2023,2023-07-26,mlb,MIN,SEA,46.9927878392028,49.02919211539274,4.51,4.32,0.0,0.0,0.7,0.6,0.0
717254,2023,2023-07-26,mlb,MIL,CIN,44.26372698544554,44.78260134821402,3.86,5.38,0.0,0.0,0.6,0.6,1.0
717244,2023,2023-07-26,mlb,ARI,STL,46.61703093617329,45.332448715953014,3.47,4.99,0.0,0.0,0.3,0.6,0.0
717246,2023,2023-07-26,mlb,SDP,PIT,47.896637273871,41.66652411136119,3.57,4.31,0.0,0.0,0.5,0.3,0.0
717253,2023,2023-07-26,mlb,LAD,TOR,52.881054097750265,48.81365443114781,4.98,3.86,0.0,0.0,0.6,0.5,0.0
717245,2023,2023-07-26,mlb,PHI,BAL,52.042264664363394,48.236146371587125,4.18,2.83,0.0,0.0,0.5,0.6,1.0
717248,2023,2023-07-26,mlb,NYY,NYM,43.555057943600616,46.1675921482945,6.85,3.57,0.0,0.0,0.4,0.5,1.0
717242,2023,2023-07-26,mlb,BOS,ATL,47.295496550395896,63.847983611293685,4.24,3.86,0.0,0.0,0.6,0.4,1.0
717239,2023,2023-07-26,mlb,HOU,TEX,52.26159782076136,53.49300527607529,3.45,4.15,0.0,0.0,0.7,0.6,0.0
717240,2023,2023-07-26,mlb,CHW,CHC,37.820530657144026,49.69176903948828,5.73,3.95,0.0,0.0,0.3,0.7,0.0
717247,2023,2023-07-27,mlb,DET,LAA,41.6807004965427,44.88797413928977,4.18,4.11,0.0,0.0,0.4444444444444444,0.8,
717225,2023,2023-07-28,mlb,LAD,CIN,52.881054097750265,44.78260134821402,3.76,4.46,1.0,1.0,0.5,0.6,0.0
717220,2023,2023-07-28,mlb,SFG,BOS,41.21396826950983,47.295496550395896,3.25,4.04,1.0,1.0,0.4444444444444444,0.6,0.0
717222,2023,2023-07-29,mlb,TOR,LAA,48.81365443114781,44.88797413928977,5.87,4.48,0.0,0.0,0.5,0.7777777777777778,1.0
717198,2023,2023-07-30,mlb,KCR,MIN,41.450972950495625,46.9927878392028,4.52,4.23,0.0,0.0,0.3,0.5,1.0
717204,2023,2023-07-30,mlb,CHW,CLE,37.820530657144026,39.04999341574157,5.43,3.46,0.0,0.0,0.3,0.5,0.0
717195,2023,2023-07-30,mlb,STL,CHC,45.332448715953014,49.69176903948828,3.86,3.74,0.0,0.0,0.3,0.9,1.0
717199,2023,2023-07-30,mlb,COL,ATH,40.803785600090585,36.13080527686773,5.54,5.42,0.0,0.0,0.4,0.5,1.0
