game_pk,season,game_date,league,home_team,away_team,home_strength,away_strength,home_sp_era,away_sp_era,home_rest,away_rest,home_last10,away_last10,y_home_win
47,2010,2010-04-08,NL,WAS,PHI,0.426,0.599,,,1,1,0,1,1
48,2010,2010-04-09,AL,LAA,ATH,0.494,0.5,,,1,1,0.25,0.75,0
49,2010,2010-04-09,NL,ARI,PIT,0.401,0.352,,,2,1,0.6667,0.6667,1
50,2010,2010-04-09,AL,BAL,TOR,0.407,0.525,,,1,1,0.3333,0.6667,0
51,2010,2010-04-09,AL,CHA,MIN,0.543,0.58,,,1,1,0.3333,0.75,0
52,2010,2010-04-09,NL,CIN,CHN,0.562,0.463,,,1,1,0.3333,0.3333,1
53,2010,2010-04-09,NL,COL,SDN,0.512,0.556,,,2,2,0.3333,0.3333,1
54,2010,2010-04-09,AL,DET,CLE,0.5,0.426,,,1,1,0.6667,0.6667,1
55,2010,2010-04-09,NL,MIA,LAN,0.494,0.494,,,1,1,0.6667,0.3333,0
56,2010,2010-04-09,NL,HOU,PHI,0.469,0.599,,,2,1,0,0.6667,0
57,2010,2010-04-09,AL,KCA,BOS,0.414,0.549,,,1,2,0.3333,0.3333,1
58,2010,2010-04-09,NL,MIL,SLN,0.475,0.531,,,2,1,0.6667,0.6667,0
59,2010,2010-04-09,NL,NYN,WAS,0.488,0.426,,,1,1,0.3333,0.3333,1
60,2010,2010-04-09,NL,SFN,ATL,0.568,0.562,,,2,1,1,0.6667,1
61,2010,2010-04-09,AL,TBA,NYA,0.593,0.586,,,1,2,0.6667,0.6667,1
62,2010,2010-04-09,AL,TEX,SEA,0.556,0.377,,,1,1,0.3333,0.25,1
63,2010,2010-04-10,AL,LAA,ATH,0.494,0.5,,,1,1,0.2,0.8,1
64,2010,2010-04-10,NL,ARI,PIT,0.401,0.352,,,1,1,0.75,0.5,0
65,2010,2010-04-10,AL,BAL,TOR,0.407,0.525,,,1,1,0.25,0.75,0
66,2010,2010-04-10,AL,CHA,MIN,0.543,0.58,,,1,1,0.25,0.8,0
67,2010,2010-04-10,NL,CIN,CHN,0.562,0.463,,,1,1,0.5,0.25,0
68,2010,2010-04-10,NL,COL,SDN,0.512,0.556,,,1,1,0.5,0.25,0
69,2010,2010-04-10,AL,DET,CLE,0.5,0.426,,,1,1,0.75,0.5,1
70,2010,2010-04-10,NL,MIA,LAN,0.494,0.494,,,1,1,0.5,0.5,1
71,2010,2010-04-10,NL,HOU,PHI,0.469,0.599,,,1,1,0,0.75,0
72,2010,2010-04-10,AL,KCA,BOS,0.414,0.549,,,1,1,0.5,0.25,0
73,2010,2010-04-10,NL,MIL,SLN,0.475,0.531,,,1,1,0.5,0.75,0
74,2010,2010-04-10,NL,NYN,WAS,0.488,0.426,,,1,1,0.5,0.25,0
75,2010,2010-04-10,NL,SFN,ATL,0.568,0.562,,,1,1,1,0.5,0
76,2010,2010-04-10,AL,TBA,NYA,0.593,0.586,,,1,1,0.75,0.5,0
77,2010,2010-04-10,AL,TEX,SEA,0.556,0.377,,,1,1,0.5,0.2,0
78,2010,2010-04-11,AL,LAA,ATH,0.494,0.5,,,1,1,0.3333,0.6667,0
79,2010,2010-04-11,NL,ARI,PIT,0.401,0.352,,,1,1,0.6,0.6,1
80,2010,2010-04-11,AL,BAL,TOR,0.407,0.525,,,1,1,0.2,0.8,0
81,2010,2010-04-11,AL,CHA,MIN,0.543,0.58,,,1,1,0.2,0.8333,1
82,2010,2010-04-11,NL,CIN,CHN,0.562,0.463,,,1,1,0.4,0.4,1
83,2010,2010-04-11,NL,COL,SDN,0.512,0.556,,,1,1,0.4,0.4,1
84,2010,2010-04-11,AL,DET,CLE,0.5,0.426,,,1,1,0.8,0.4,1
85,2010,2010-04-11,NL,MIA,LAN,0.494,0.494,,,1,1,0.6,0.4,1
86,2010,2010-04-11,NL,HOU,PHI,0.469,0.599,,,1,1,0,0.8,0
87,2010,2010-04-11,AL,KCA,BOS,0.414,0.549,,,1,1,0.4,0.4,0
88,2010,2010-04-11,NL,MIL,SLN,0.475,0.531,,,1,1,0.4,0.8,1
89,2010,2010-04-11,NL,NYN,WAS,0.488,0.426,,,1,1,0.4,0.4,0
90,2010,2010-04-11,NL,SFN,ATL,0.568,0.562,,,1,1,0.8,0.6,1
91,2010,2010-04-11,AL,TBA,NYA,0.593,0.586,,,1,1,0.6,0.6,0
92,2010,2010-04-11,AL,TEX,SEA,0.556,0.377,,,1,1,0.4,0.3333,1
93,2010,2010-04-12,AL,BAL,TBA,0.407,0.593,,,1,1,0.1667,0.5,0
94,2010,2010-04-12,NL,CHN,MIL,0.463,0.475,,,1,1,0.3333,0.5,1
95,2010,2010-04-12,AL,CLE,TEX,0.426,0.556,,,1,1,0.3333,0.5,0
96,2010,2010-04-12,AL,DET,KCA,0.5,0.414,,,1,1,0.8333,0.3333,0
97,2010,2010-04-12,NL,MIA,CIN,0.494,0.562,,,1,1,0.6667,0.5,0
98,2010,2010-04-12,AL,MIN,BOS,0.58,0.549,,,1,1,0.7143,0.5,1
99,2010,2010-04-12,NL,PHI,WAS,0.599,0.426,,,1,1,0.8333,0.5,1
100,2010,2010-04-12,NL,SDN,ATL,0.556,0.562,,,1,1,0.3333,0.5,1
101,2010,2010-04-12,AL,SEA,ATH,0.377,0.5,,,1,1,0.2857,0.7143,0
102,2010,2010-04-12,NL,SFN,PIT,0.568,0.352,,,1,1,0.8333,0.5,1
103,2010,2010-04-12,NL,SLN,HOU,0.531,0.469,,,1,1,0.6667,0,1
104,2010,2010-04-12,AL,TOR,CHA,0.525,0.543,,,1,1,0.8333,0.3333,0
105,2010,2010-04-13,AL,BAL,TBA,0.407,0.593,,,1,1,0.1429,0.5714,0
106,2010,2010-04-13,NL,COL,NYN,0.512,0.488,,,2,2,0.5,0.3333,1
107,2010,2010-04-13,AL,DET,KCA,0.5,0.414,,,1,1,0.7143,0.4286,1
108,2010,2010-04-13,NL,MIA,CIN,0.494,0.562,,,1,1,0.5714,0.5714,0
109,2010,2010-04-13,NL,LAN,ARI,0.494,0.401,,,2,2,0.3333,0.6667,1
110,2010,2010-04-13,AL,NYA,LAA,0.586,0.494,,,2,2,0.6667,0.2857,1
111,2010,2010-04-13,AL,SEA,ATH,0.377,0.5,,,1,1,0.25,0.75,1
112,2010,2010-04-13,NL,SFN,PIT,0.568,0.352,,,1,1,0.8571,0.4286,0
113,2010,2010-04-13,AL,TOR,CHA,0.525,0.543,,,1,1,0.7143,0.4286,1
114,2010,2010-04-14,AL,BAL,TBA,0.407,0.593,,,1,1,0.125,0.625,0
115,2010,2010-04-14,NL,CHN,MIL,0.463,0.475,,,2,2,0.4286,0.4286,1
116,2010,2010-04-14,AL,CLE,TEX,0.426,0.556,,,2,2,0.2857,0.5714,0
117,2010,2010-04-14,NL,COL,NYN,0.512,0.488,,,1,1,0.5714,0.2857,1
118,2010,2010-04-14,AL,DET,KCA,0.5,0.414,,,1,1,0.75,0.375,0
119,2010,2010-04-14,NL,MIA,CIN,0.494,0.562,,,1,1,0.5,0.625,1
120,2010,2010-04-14,NL,LAN,ARI,0.494,0.401,,,1,1,0.4286,0.5714,0
121,2010,2010-04-14,AL,MIN,BOS,0.58,0.549,,,2,2,0.75,0.4286,0
122,2010,2010-04-14,AL,NYA,LAA,0.586,0.494,,,1,1,0.7143,0.25,0
123,2010,2010-04-14,NL,PHI,WAS,0.599,0.426,,,2,2,0.8571,0.4286,1
124,2010,2010-04-14,NL,SDN,ATL,0.556,0.562,,,2,2,0.4286,0.4286,0
125,2010,2010-04-14,AL,SEA,ATH,0.377,0.5,,,1,1,0.3333,0.6667,1
126,2010,2010-04-14,NL,SFN,PIT,0.568,0.352,,,1,1,0.75,0.5,1
127,2010,2010-04-14,NL,SLN,HOU,0.531,0.469,,,2,2,0.7143,0,1
128,2010,2010-04-14,AL,TOR,CHA,0.525,0.543,,,1,1,0.75,0.375,0
129,2010,2010-04-15,NL,CHN,MIL,0.463,0.475,,,1,1,0.5,0.375,0
130,2010,2010-04-15,AL,CLE,TEX,0.426,0.556,,,1,1,0.25,0.625,1
131,2010,2010-04-15,NL,COL,NYN,0.512,0.488,,,1,1,0.625,0.25,0
132,2010,2010-04-15,NL,MIA,CIN,0.494,0.562,,,1,1,0.5556,0.5556,1
133,2010,2010-04-15,NL,LAN,ARI,0.494,0.401,,,1,1,0.375,0.625,1
134,2010,2010-04-15,AL,MIN,BOS,0.58,0.549,,,1,1,0.6667,0.5,1
135,2010,2010-04-15,AL,NYA,LAA,0.586,0.494,,,1,1,0.625,0.3333,1
136,2010,2010-04-15,AL,ATH,BAL,0.5,0.407,,,1,1,0.6,0.1111,1
137,2010,2010-04-15,NL,PHI,WAS,0.599,0.426,,,1,1,0.875,0.375,0
138,2010,2010-04-15,NL,SDN,ATL,0.556,0.562,,,1,1,0.375,0.5,0
139,2010,2010-04-15,NL,SLN,HOU,0.531,0.469,,,1,1,0.75,0,0
140,2010,2010-04-15,AL,TOR,CHA,0.525,0.543,,,1,1,0.6667,0.4444,1
141,2010,2010-04-16,NL,ATL,COL,0.562,0.512,,,1,1,0.5556,0.5556,1
142,2010,2010-04-16,AL,BOS,TBA,0.549,0.593,,,1,2,0.4444,0.6667,0
143,2010,2010-04-16,NL,CHN,HOU,0.463,0.469,,,1,1,0.4444,0.1111,1
144,2010,2010-04-16,AL,CLE,CHA,0.426,0.543,,,1,1,0.3333,0.4,1
145,2010,2010-04-16,NL,LAN,SFN,0.494,0.568,,,1,2,0.4444,0.7778,1
146,2010,2010-04-16,AL,MIN,KCA,0.58,0.414,,,1,2,0.7,0.4444,1
147,2010,2010-04-16,AL,NYA,TEX,0.586,0.556,,,1,1,0.6667,0.5556,1
148,2010,2010-04-16,AL,ATH,BAL,0.5,0.407,,,1,1,0.7,0.1,1
149,2010,2010-04-16,NL,PHI,MIA,0.599,0.494,,,1,1,0.7778,0.6,1
150,2010,2010-04-16,NL,PIT,CIN,0.352,0.562,,,2,1,0.4444,0.5,1
151,2010,2010-04-16,NL,SDN,ARI,0.556,0.401,,,1,1,0.3333,0.5556,1
152,2010,2010-04-16,AL,SEA,DET,0.377,0.5,,,2,2,0.4,0.6667,1
153,2010,2010-04-16,NL,SLN,NYN,0.531,0.488,,,1,1,0.6667,0.3333,1
154,2010,2010-04-16,AL,TOR,LAA,0.525,0.494,,,1,1,0.7,0.3,0
155,2010,2010-04-16,NL,WAS,MIL,0.426,0.475,,,1,1,0.4444,0.4444,1
156,2010,2010-04-17,NL,ATL,COL,0.562,0.512,,,1,1,0.6,0.5,0
157,2010,2010-04-17,AL,BOS,TBA,0.549,0.593,,,1,1,0.4,0.7,0
158,2010,2010-04-17,NL,CHN,HOU,0.463,0.469,,,1,1,0.5,0.1,0
159,2010,2010-04-17,AL,CLE,CHA,0.426,0.543,,,1,1,0.4,0.3,1
160,2010,2010-04-17,NL,LAN,SFN,0.494,0.568,,,1,1,0.5,0.7,0
161,2010,2010-04-17,AL,MIN,KCA,0.58,0.414,,,1,1,0.8,0.4,1
162,2010,2010-04-17,AL,NYA,TEX,0.586,0.556,,,1,1,0.7,0.5,1
163,2010,2010-04-17,AL,ATH,BAL,0.5,0.407,,,1,1,0.7,0.1,1
164,2010,2010-04-17,NL,PHI,MIA,0.599,0.494,,,1,1,0.8,0.6,0
165,2010,2010-04-17,NL,PIT,CIN,0.352,0.562,,,1,1,0.5,0.5,1
166,2010,2010-04-17,NL,SDN,ARI,0.556,0.401,,,1,1,0.4,0.5,1
167,2010,2010-04-17,AL,SEA,DET,0.377,0.5,,,1,1,0.4,0.6,1
168,2010,2010-04-17,NL,SLN,NYN,0.531,0.488,,,1,1,0.7,0.3,0
169,2010,2010-04-17,AL,TOR,LAA,0.525,0.494,,,1,1,0.7,0.3,0
170,2010,2010-04-17,NL,WAS,MIL,0.426,0.475,,,1,1,0.5,0.4,1
171,2010,2010-04-18,NL,ATL,COL,0.562,0.512,,,1,1,0.5,0.5,1
172,2010,2010-04-18,AL,BOS,TBA,0.549,0.593,,,1,1,0.3,0.7,0
173,2010,2010-04-18,NL,CHN,HOU,0.463,0.469,,,1,1,0.5,0.2,0
174,2010,2010-04-18,AL,CLE,CHA,0.426,0.543,,,1,1,0.5,0.3,1
175,2010,2010-04-18,NL,LAN,SFN,0.494,0.568,,,1,1,0.5,0.7,1
176,2010,2010-04-18,AL,MIN,KCA,0.58,0.414,,,1,1,0.8,0.4,0
177,2010,2010-04-18,AL,NYA,TEX,0.586,0.556,,,1,1,0.8,0.4,1
178,2010,2010-04-18,AL,ATH,BAL,0.5,0.407,,,1,1,0.7,0.1,0
179,2010,2010-04-18,NL,PHI,MIA,0.599,0.494,,,1,1,0.7,0.6,0
180,2010,2010-04-18,NL,PIT,CIN,0.352,0.562,,,1,1,0.5,0.5,1
181,2010,2010-04-18,NL,SDN,ARI,0.556,0.401,,,1,1,0.5,0.4,1
182,2010,2010-04-18,AL,SEA,DET,0.377,0.5,,,1,1,0.5,0.5,0
183,2010,2010-04-18,NL,SLN,NYN,0.531,0.488,,,1,1,0.6,0.3,1
184,2010,2010-04-18,AL,TOR,LAA,0.525,0.494,,,1,1,0.6,0.4,0
185,2010,2010-04-18,NL,WAS,MIL,0.426,0.475,,,1,1,0.6,0.4,0
186,2010,2010-04-19,AL,LAA,DET,0.494,0.5,,,1,1,0.5,0.6,1
187,2010,2010-04-19,NL,ARI,SLN,0.401,0.531,,,1,1,0.4,0.6,0
188,2010,2010-04-19,AL,BOS,TBA,0.549,0.593,,,1,1,0.3,0.7,0
189,2010,2010-04-19,NL,NYN,CHN,0.488,0.463,,,1,1,0.3,0.5,1
190,2010,2010-04-19,NL,SDN,SFN,0.556,0.568,,,1,1,0.5,0.6,1
191,2010,2010-04-19,AL,SEA,BAL,0.377,0.407,,,1,1,0.5,0.1,1
192,2010,2010-04-19,AL,TOR,KCA,0.525,0.414,,,1,1,0.5,0.4,1
193,2010,2010-04-19,NL,WAS,COL,0.426,0.512,,,1,1,0.6,0.5,1
194,2010,2010-04-20,AL,LAA,DET,0.494,0.5,,,1,1,0.6,0.5,1
195,2010,2010-04-20,NL,ARI,SLN,0.401,0.531,,,1,1,0.3,0.7,1
196,2010,2010-04-20,NL,ATL,PHI,0.562,0.599,,,2,2,0.5,0.6,1
197,2010,2010-04-20,AL,BOS,TEX,0.549,0.556,,,1,2,0.3,0.4,1
198,2010,2010-04-20,AL,CHA,TBA,0.543,0.593,,,2,1,0.3,0.8,1
199,2010,2010-04-20,NL,CIN,LAN,0.562,0.494,,,2,2,0.4,0.6,1
200,2010,2010-04-20,NL,HOU,MIA,0.469,0.494,,,2,2,0.3,0.6,1
201,2010,2010-04-20,AL,MIN,CLE,0.58,0.426,,,2,2,0.7,0.5,1
202,2010,2010-04-20,NL,NYN,CHN,0.488,0.463,,,1,1,0.4,0.4,1
203,2010,2010-04-20,AL,ATH,NYA,0.5,0.586,,,2,2,0.6,0.8,0
204,2010,2010-04-20,NL,PIT,MIL,0.352,0.475,,,2,2,0.5,0.4,0
205,2010,2010-04-20,NL,SDN,SFN,0.556,0.568,,,1,1,0.6,0.5,1
206,2010,2010-04-20,AL,SEA,BAL,0.377,0.407,,,1,1,0.6,0.1,1
207,2010,2010-04-20,AL,TOR,KCA,0.525,0.414,,,1,1,0.5,0.4,1
208,2010,2010-04-20,NL,WAS,COL,0.426,0.512,,,1,1,0.6,0.5,0
209,2010,2010-04-21,AL,LAA,DET,0.494,0.5,,,1,1,0.7,0.4,0
210,2010,2010-04-21,NL,ARI,SLN,0.401,0.531,,,1,1,0.3,0.6,0
211,2010,2010-04-21,NL,ATL,PHI,0.562,0.599,,,1,1,0.6,0.6,0
212,2010,2010-04-21,AL,BOS,TEX,0.549,0.556,,,1,1,0.4,0.4,1
213,2010,2010-04-21,AL,CHA,TBA,0.543,0.593,,,1,1,0.4,0.7,0
214,2010,2010-04-21,NL,CIN,LAN,0.562,0.494,,,1,1,0.4,0.5,0
215,2010,2010-04-21,NL,HOU,MIA,0.469,0.494,,,1,1,0.4,0.6,1
216,2010,2010-04-21,AL,MIN,CLE,0.58,0.426,,,1,1,0.7,0.4,1
217,2010,2010-04-21,NL,NYN,CHN,0.488,0.463,,,1,1,0.4,0.4,0
218,2010,2010-04-21,AL,ATH,NYA,0.5,0.586,,,1,1,0.5,0.8,0
219,2010,2010-04-21,NL,PIT,MIL,0.352,0.475,,,1,1,0.5,0.4,0
220,2010,2010-04-21,NL,SDN,SFN,0.556,0.568,,,1,1,0.7,0.4,1
221,2010,2010-04-21,AL,SEA,BAL,0.377,0.407,,,1,1,0.7,0.1,1
222,2010,2010-04-21,AL,TOR,KCA,0.525,0.414,,,1,1,0.5,0.3,0
223,2010,2010-04-21,NL,WAS,COL,0.426,0.512,,,1,1,0.6,0.5,1
224,2010,2010-04-22,AL,LAA,DET,0.494,0.5,,,1,1,0.6,0.4,0
225,2010,2010-04-22,NL,ATL,PHI,0.562,0.599,,,1,1,0.6,0.6,0
226,2010,2010-04-22,AL,BOS,TEX,0.549,0.556,,,1,1,0.4,0.3,0
227,2010,2010-04-22,AL,CHA,TBA,0.543,0.593,,,1,1,0.4,0.8,0
228,2010,2010-04-22,NL,CIN,LAN,0.562,0.494,,,1,1,0.4,0.5,1
229,2010,2010-04-22,NL,HOU,MIA,0.469,0.494,,,1,1,0.5,0.5,0
230,2010,2010-04-22,AL,MIN,CLE,0.58,0.426,,,1,1,0.7,0.4,0
231,2010,2010-04-22,NL,NYN,CHN,0.488,0.463,,,1,1,0.4,0.4,1
232,2010,2010-04-22,AL,ATH,NYA,0.5,0.586,,,1,1,0.5,0.9,1
233,2010,2010-04-22,NL,PIT,MIL,0.352,0.475,,,1,1,0.5,0.5,0
234,2010,2010-04-22,NL,WAS,COL,0.426,0.512,,,1,1,0.6,0.5,0
235,2010,2010-04-23,AL,LAA,NYA,0.494,0.586,,,1,1,0.6,0.8,1
236,2010,2010-04-23,NL,ARI,PHI,0.401,0.599,,,2,1,0.3,0.6,1
237,2010,2010-04-23,AL,BOS,BAL,0.549,0.407,,,1,2,0.3,0.1,1
238,2010,2010-04-23,AL,CHA,SEA,0.543,0.377,,,1,2,0.3,0.7,1
239,2010,2010-04-23,NL,CIN,SDN,0.562,0.556,,,1,2,0.4,0.7,0
240,2010,2010-04-23,NL,HOU,PIT,0.469,0.352,,,1,1,0.5,0.4,1
241,2010,2010-04-23,AL,KCA,MIN,0.414,0.58,,,2,1,0.4,0.6,0
242,2010,2010-04-23,NL,MIL,CHN,0.475,0.463,,,1,1,0.6,0.4,0
243,2010,2010-04-23,NL,NYN,ATL,0.488,0.562,,,1,1,0.5,0.5,1
244,2010,2010-04-23,AL,ATH,CLE,0.5,0.426,,,1,1,0.5,0.5,1
245,2010,2010-04-23,NL,SFN,SLN,0.568,0.531,,,2,2,0.4,0.6,1
246,2010,2010-04-23,AL,TBA,TOR,0.593,0.525,,,1,2,0.9,0.4,0
247,2010,2010-04-23,AL,TEX,DET,0.556,0.5,,,1,1,0.4,0.4,1
248,2010,2010-04-23,NL,WAS,LAN,0.426,0.494,,,1,1,0.5,0.5,1
249,2010,2010-04-24,AL,LAA,NYA,0.494,0.586,,,1,1,0.7,0.7,0
250,2010,2010-04-24,NL,ARI,PHI,0.401,0.599,,,1,1,0.3,0.5,0
251,2010,2010-04-24,AL,BOS,BAL,0.549,0.407,,,1,1,0.4,0.1,1
252,2010,2010-04-24,AL,CHA,SEA,0.543,0.377,,,1,1,0.3,0.7,1
253,2010,2010-04-24,NL,CIN,SDN,0.562,0.556,,,1,1,0.3,0.8,0
254,2010,2010-04-24,NL,COL,MIA,0.512,0.494,,,2,2,0.5,0.5,0
255,2010,2010-04-24,NL,COL,MIA,0.512,0.494,,,0,0,0.4,0.6,1
256,2010,2010-04-24,NL,HOU,PIT,0.469,0.352,,,1,1,0.6,0.4,1
257,2010,2010-04-24,AL,KCA,MIN,0.414,0.58,,,1,1,0.4,0.7,0
258,2010,2010-04-24,NL,MIL,CHN,0.475,0.463,,,1,1,0.5,0.4,0
259,2010,2010-04-24,NL,NYN,ATL,0.488,0.562,,,1,1,0.6,0.5,1
260,2010,2010-04-24,AL,ATH,CLE,0.5,0.426,,,1,1,0.5,0.5,0
261,2010,2010-04-24,NL,SFN,SLN,0.568,0.531,,,1,1,0.4,0.6,1
262,2010,2010-04-24,AL,TBA,TOR,0.593,0.525,,,1,1,0.8,0.5,1
263,2010,2010-04-24,AL,TEX,DET,0.556,0.5,,,1,1,0.4,0.4,0
264,2010,2010-04-24,NL,WAS,LAN,0.426,0.494,,,1,1,0.6,0.5,0
265,2010,2010-04-25,AL,LAA,NYA,0.494,0.586,,,1,1,0.6,0.7,1
266,2010,2010-04-25,NL,ARI,PHI,0.401,0.599,,,1,1,0.3,0.5,1
267,2010,2010-04-25,AL,BOS,BAL,0.549,0.407,,,1,1,0.4,0.1,0
268,2010,2010-04-25,AL,CHA,SEA,0.543,0.377,,,1,1,0.4,0.7,1
269,2010,2010-04-25,NL,CIN,SDN,0.562,0.556,,,1,1,0.2,0.8,1
270,2010,2010-04-25,NL,COL,MIA,0.512,0.494,,,1,1,0.4,0.6,1
271,2010,2010-04-25,NL,HOU,PIT,0.469,0.352,,,1,1,0.7,0.4,1
272,2010,2010-04-25,AL,KCA,MIN,0.414,0.58,,,1,1,0.3,0.7,1
273,2010,2010-04-25,NL,MIL,CHN,0.475,0.463,,,1,1,0.5,0.4,0
274,2010,2010-04-25,NL,NYN,ATL,0.488,0.562,,,1,1,0.7,0.5,1
275,2010,2010-04-25,AL,ATH,CLE,0.5,0.426,,,1,1,0.5,0.6,1
276,2010,2010-04-25,NL,SFN,SLN,0.568,0.531,,,1,1,0.4,0.5,0
277,2010,2010-04-25,AL,TBA,TOR,0.593,0.525,,,1,1,0.8,0.4,1
278,2010,2010-04-25,AL,TEX,DET,0.556,0.5,,,1,1,0.3,0.4,1
279,2010,2010-04-25,NL,WAS,LAN,0.426,0.494,,,1,1,0.6,0.5,1
280,2010,2010-04-26,AL,LAA,CLE,0.494,0.426,,,1,1,0.7,0.6,1
281,2010,2010-04-26,NL,CHN,WAS,0.463,0.426,,,1,1,0.5,0.6,1
282,2010,2010-04-26,NL,COL,ARI,0.512,0.401,,,1,1,0.5,0.3,0
283,2010,2010-04-26,NL,MIA,SDN,0.494,0.556,,,1,1,0.5,0.8,1
284,2010,2010-04-26,AL,KCA,SEA,0.414,0.377,,,1,1,0.4,0.6,1
285,2010,2010-04-26,NL,MIL,PIT,0.475,0.352,,,1,1,0.5,0.3,1
286,2010,2010-04-26,NL,SFN,PHI,0.568,0.599,,,1,1,0.4,0.4,1
287,2010,2010-04-26,NL,SLN,ATL,0.531,0.562,,,1,1,0.5,0.4,1
288,2010,2010-04-26,AL,TEX,DET,0.556,0.5,,,1,1,0.3,0.4,0
289,2010,2010-04-26,AL,TOR,BOS,0.525,0.549,,,1,1,0.4,0.4,0
290,2010,2010-04-27,AL,LAA,CLE,0.494,0.426,,,1,1,0.7,0.5,0
291,2010,2010-04-27,AL,BAL,NYA,0.407,0.586,,,2,2,0.2,0.7,1
292,2010,2010-04-27,NL,CHN,WAS,0.463,0.426,,,1,1,0.5,0.5,0
293,2010,2010-04-27,NL,COL,ARI,0.512,0.401,,,1,1,0.5,0.4,1
294,2010,2010-04-27,AL,DET,MIN,0.5,0.58,,,1,2,0.5,0.7,0
295,2010,2010-04-27,NL,MIA,SDN,0.494,0.556,,,1,1,0.5,0.8,0
296,2010,2010-04-27,NL,HOU,CIN,0.469,0.562,,,2,2,0.8,0.3,0
297,2010,2010-04-27,AL,KCA,SEA,0.414,0.377,,,1,1,0.4,0.5,0
298,2010,2010-04-27,NL,MIL,PIT,0.475,0.352,,,1,1,0.5,0.3,0
