game_pk,season,game_date,league,home_team,away_team,home_strength,away_strength,home_sp_era,away_sp_era,home_rest,away_rest,home_last10,away_last10,y_home_win
1,2010,2010-04-04,AL,BOS,NYA,0.549,0.586,,,,,,,1
2,2010,2010-04-05,AL,LAA,MIN,0.494,0.58,,,,,,,1
3,2010,2010-04-05,NL,ARI,SDN,0.401,0.556,,,,,,,1
4,2010,2010-04-05,NL,ATL,CHN,0.562,0.463,,,,,,,1
5,2010,2010-04-05,AL,CHA,CLE,0.543,0.426,,,,,,,1
6,2010,2010-04-05,NL,CIN,SLN,0.562,0.531,,,,,,,0
7,2010,2010-04-05,NL,HOU,SFN,0.469,0.568,,,,,,,0
8,2010,2010-04-05,AL,KCA,DET,0.414,0.5,,,,,,,0
9,2010,2010-04-05,NL,MIL,COL,0.475,0.512,,,,,,,0
10,2010,2010-04-05,NL,NYN,MIA,0.488,0.494,,,,,,,1
11,2010,2010-04-05,AL,ATH,SEA,0.5,0.377,,,,,,,0
12,2010,2010-04-05,NL,PIT,LAN,0.352,0.494,,,,,,,1
13,2010,2010-04-05,AL,TEX,TOR,0.556,0.525,,,,,,,1
14,2010,2010-04-05,NL,WAS,PHI,0.426,0.599,,,,,,,0
15,2010,2010-04-06,AL,LAA,MIN,0.494,0.58,,,1,1,1,0,0
16,2010,2010-04-06,NL,ARI,SDN,0.401,0.556,,,1,1,1,0,0
17,2010,2010-04-06,AL,BOS,NYA,0.549,0.586,,,2,2,1,0,0
18,2010,2010-04-06,NL,HOU,SFN,0.469,0.568,,,1,1,0,1,0
19,2010,2010-04-06,NL,MIL,COL,0.475,0.512,,,1,1,0,1,1
20,2010,2010-04-06,AL,ATH,SEA,0.5,0.377,,,1,1,0,1,1
21,2010,2010-04-06,AL,TBA,BAL,0.593,0.407,,,,,,,1
22,2010,2010-04-07,AL,LAA,MIN,0.494,0.58,,,1,1,0.5,0.5,0
23,2010,2010-04-07,NL,ARI,SDN,0.401,0.556,,,1,1,0.5,0.5,1
24,2010,2010-04-07,NL,ATL,CHN,0.562,0.463,,,2,2,1,0,1
25,2010,2010-04-07,AL,BOS,NYA,0.549,0.586,,,1,1,0.5,0.5,0
26,2010,2010-04-07,AL,CHA,CLE,0.543,0.426,,,2,2,1,0,0
27,2010,2010-04-07,NL,CIN,SLN,0.562,0.531,,,2,2,0,1,0
28,2010,2010-04-07,NL,HOU,SFN,0.469,0.568,,,1,1,0,1,0
29,2010,2010-04-07,AL,KCA,DET,0.414,0.5,,,2,2,0,1,1
30,2010,2010-04-07,NL,MIL,COL,0.475,0.512,,,1,1,0.5,0.5,1
31,2010,2010-04-07,NL,NYN,MIA,0.488,0.494,,,2,2,1,0,0
32,2010,2010-04-07,AL,ATH,SEA,0.5,0.377,,,1,1,0.5,0.5,1
33,2010,2010-04-07,NL,PIT,LAN,0.352,0.494,,,2,2,1,0,1
34,2010,2010-04-07,AL,TBA,BAL,0.593,0.407,,,1,1,1,0,1
35,2010,2010-04-07,AL,TEX,TOR,0.556,0.525,,,2,2,1,0,0
36,2010,2010-04-07,NL,WAS,PHI,0.426,0.599,,,2,2,0,1,0
37,2010,2010-04-08,AL,LAA,MIN,0.494,0.58,,,1,1,0.3333,0.6667,0
38,2010,2010-04-08,NL,ATL,CHN,0.562,0.463,,,1,1,1,0,0
39,2010,2010-04-08,AL,CHA,CLE,0.543,0.426,,,1,1,0.5,0.5,0
40,2010,2010-04-08,NL,CIN,SLN,0.562,0.531,,,1,1,0,1,1
41,2010,2010-04-08,AL,KCA,DET,0.414,0.5,,,1,1,0.5,0.5,0
42,2010,2010-04-08,NL,NYN,MIA,0.488,0.494,,,1,1,0.5,0.5,0
43,2010,2010-04-08,AL,ATH,SEA,0.5,0.377,,,1,1,0.6667,0.3333,1
44,2010,2010-04-08,NL,PIT,LAN,0.352,0.494,,,1,1,1,0,0
45,2010,2010-04-08,AL,TBA,BAL,0.593,0.407,,,1,1,1,0,0
46,2010,2010-04-08,AL,TEX,TOR,0.556,0.525,,,1,1,0.5,0.5,0
