playerID,yearID,teamID,lgID,round,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
abadfe01,2014,OAK,AL,ALWC,P,1,0.0,1,0,0,0,0,0.0,,,
abbotje01,2000,CHA,AL,ALDS2,CF,1,0.0,9,1,0,0,0,0.0,,,
abbotku01,2000,NYN,NL,NLCS,SS,2,1.0,24,1,0,1,0,0.0,,,
abbotku01,2000,NYN,NL,NLDS2,SS,1,0.0,12,0,0,0,0,0.0,,,
abbotku01,2000,NYN,NL,WS,SS,5,1.0,56,3,5,0,2,0.0,,,
abbotpa01,2000,SEA,AL,ALCS,P,1,1.0,15,0,1,0,0,0.0,,,
abbotpa01,2000,SEA,AL,ALDS2,P,1,1.0,17,0,1,0,0,0.0,,,
abbotpa01,2001,SEA,AL,ALCS,P,1,1.0,15,0,2,0,0,0.0,,,
abbotpa01,2001,SEA,AL,ALDS1,P,1,0.0,9,0,0,0,0,0.0,,,
abreubo01,2006,NYA,AL,ALDS1,RF,4,4.0,102,4,0,0,0,0.0,,,
abreubo01,2007,NYA,AL,ALDS2,RF,4,4.0,110,7,0,0,0,0.0,,,
abreubo01,2009,LAA,AL,ALCS,RF,6,6.0,172,13,0,1,0,0.0,,,
abreubo01,2009,LAA,AL,ALDS2,RF,3,3.0,81,8,0,0,0,0.0,,,
abreubr01,2019,HOU,AL,ALCS,P,1,0.0,2,0,0,0,0,0.0,,,
abreubr01,2022,HOU,AL,ALCS,P,3,0.0,9,0,0,0,0,0.0,,,
abreubr01,2022,HOU,AL,ALDS2,P,3,0.0,10,0,0,0,0,0.0,,,
abreubr01,2022,HOU,AL,WS,P,4,0.0,15,0,0,0,0,0.0,,,
abreubr01,2023,HOU,AL,ALCS,P,4,0.0,12,0,0,0,0,0.0,,,
abreubr01,2023,HOU,AL,ALDS2,P,1,0.0,4,0,0,0,0,0.0,,,
abreubr01,2024,HOU,AL,ALWC1,P,1,0.0,4,0,1,0,0,,,,
abreujo02,2020,CHA,AL,ALWC4,1B,3,3.0,75,21,1,0,1,0.0,,,
abreujo02,2021,CHA,AL,ALDS1,1B,3,3.0,78,16,3,0,2,0.0,,,
abreujo02,2023,HOU,AL,ALCS,1B,4,4.0,108,32,1,0,2,0.0,,,
abreujo02,2023,HOU,AL,ALDS2,1B,2,2.0,54,16,1,0,3,0.0,,,
abreuwi02,2025,BOS,AL,ALWC2,RF,2,1.0,30,6,0,0,0,,,,
aceveal01,2009,NYA,AL,ALCS,P,2,0.0,4,0,1,0,0,0.0,,,
aceveal01,2009,NYA,AL,ALDS1,P,1,0.0,3,0,0,0,0,0.0,,,
aceveal01,2009,NYA,AL,WS,P,1,0.0,6,0,0,0,0,0.0,,,
acunalu01,2024,NYN,NL,NLCS,2B,1,0.0,6,0,1,0,0,,,,
acunalu01,2024,NYN,NL,NLDS1,2B,3,0.0,15,1,0,0,0,,,,
acunalu01,2024,NYN,NL,NLWC1,2B,3,0.0,15,2,1,0,1,,,,
acunaro01,2018,ATL,NL,NLDS2,LF,4,4.0,102,6,0,1,0,0.0,,,
acunaro01,2019,ATL,NL,NLDS2,CF,5,5.0,137,11,0,0,0,0.0,,,
acunaro01,2020,ATL,NL,NLCS,CF,1,1.0,9,0,0,0,0,0.0,,,
acunaro01,2020,ATL,NL,NLCS,RF,7,6.0,162,14,0,0,0,0.0,,,
acunaro01,2020,ATL,NL,NLDS2,CF,3,3.0,81,4,0,0,0,0.0,,,
acunaro01,2020,ATL,NL,NLWC4,CF,2,2.0,66,1,0,0,0,0.0,,,
acunaro01,2022,ATL,NL,NLDS1,RF,4,4.0,102,5,0,0,0,0.0,,,
acunaro01,2023,ATL,NL,NLDS1,RF,4,4.0,102,10,0,0,0,0.0,,,
adamewi01,2019,TBA,AL,ALDS1,SS,5,5.0,123,6,13,1,2,0.0,,,
adamewi01,2019,TBA,AL,ALWC,SS,1,1.0,27,3,2,0,0,0.0,,,
adamewi01,2020,TBA,AL,ALCS,SS,7,7.0,184,11,18,0,8,0.0,,,
adamewi01,2020,TBA,AL,ALDS1,SS,5,5.0,132,3,16,2,1,0.0,,,
adamewi01,2020,TBA,AL,ALWC1,SS,2,2.0,54,3,7,0,0,0.0,,,
