playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
abadan01,2003,1,BOS,AL,RF,1,1.0,21,0.0,0.0,0.0,0.0,,,,,
abbotje01,2000,1,CHA,AL,CF,33,26.0,656,52.0,1.0,1.0,0.0,,,,,
abbotje01,2000,1,CHA,AL,LF,20,14.0,395,23.0,0.0,0.0,0.0,,,,,
abbotje01,2000,1,CHA,AL,RF,16,10.0,306,27.0,1.0,1.0,0.0,,,,,
abbotje01,2001,1,FLO,NL,CF,9,7.0,195,22.0,0.0,1.0,0.0,,,,,
abbotje01,2001,1,FLO,NL,LF,1,0.0,3,0.0,0.0,0.0,0.0,,,,,
abbotje01,2001,1,FLO,NL,RF,8,1.0,59,4.0,0.0,0.0,0.0,,,,,
abbotku01,2000,1,NYN,NL,CF,2,0.0,9,0.0,0.0,0.0,0.0,,,,,
abercre01,2006,1,FLO,NL,CF,87,66.0,1774,172.0,3.0,5.0,1.0,,,,,
abercre01,2006,1,FLO,NL,LF,3,0.0,15,0.0,0.0,0.0,0.0,,,,,
abercre01,2006,1,FLO,NL,RF,13,1.0,73,4.0,0.0,0.0,0.0,,,,,
abercre01,2007,1,FLO,NL,CF,17,15.0,373,54.0,2.0,1.0,0.0,,,,,
abercre01,2007,1,FLO,NL,LF,3,1.0,33,3.0,0.0,0.0,0.0,,,,,
abercre01,2007,1,FLO,NL,RF,2,1.0,28,3.0,0.0,0.0,0.0,,,,,
abercre01,2008,1,HOU,NL,CF,11,10.0,232,29.0,2.0,0.0,1.0,,,,,
abercre01,2008,1,HOU,NL,LF,12,2.0,96,7.0,0.0,0.0,0.0,,,,,
abernbr01,2005,1,MIN,AL,LF,5,3.0,94,5.0,0.0,0.0,0.0,,,,,
abramcj01,2022,1,SDN,NL,RF,3,1.0,36,4.0,0.0,0.0,0.0,,,,,
abreubo01,2000,1,PHI,NL,RF,152,150.0,3992,338.0,13.0,4.0,2.0,,,,,
abreubo01,2001,1,PHI,NL,RF,162,159.0,4234,309.0,11.0,8.0,4.0,,,,,
abreubo01,2002,1,PHI,NL,CF,18,17.0,386,30.0,1.0,0.0,1.0,,,,,
abreubo01,2002,1,PHI,NL,RF,148,136.0,3676,253.0,9.0,5.0,1.0,,,,,
abreubo01,2003,1,PHI,NL,RF,158,156.0,4120,304.0,6.0,6.0,0.0,,,,,
abreubo01,2004,1,PHI,NL,RF,158,157.0,4184,311.0,13.0,6.0,4.0,,,,,
abreubo01,2005,1,PHI,NL,RF,158,158.0,4092,266.0,7.0,4.0,0.0,,,,,
abreubo01,2006,1,PHI,NL,CF,1,0.0,6,0.0,0.0,0.0,0.0,,,,,
abreubo01,2006,1,PHI,NL,RF,97,95.0,2538,178.0,4.0,1.0,0.0,,,,,
abreubo01,2006,2,NYA,AL,CF,1,0.0,12,1.0,0.0,0.0,0.0,,,,,
abreubo01,2006,2,NYA,AL,RF,57,54.0,1341,113.0,6.0,2.0,0.0,,,,,
abreubo01,2007,1,NYA,AL,RF,157,150.0,3999,313.0,6.0,4.0,1.0,,,,,
abreubo01,2008,1,NYA,AL,RF,150,148.0,3930,270.0,10.0,2.0,3.0,,,,,
abreubo01,2009,1,LAA,AL,LF,10,10.0,255,20.0,0.0,0.0,0.0,,,,,
abreubo01,2009,1,LAA,AL,RF,126,126.0,3243,249.0,10.0,8.0,4.0,,,,,
abreubo01,2010,1,LAA,AL,LF,41,41.0,1047,71.0,1.0,0.0,1.0,,,,,
abreubo01,2010,1,LAA,AL,RF,93,93.0,2417,171.0,6.0,6.0,1.0,,,,,
abreubo01,2011,1,LAA,AL,LF,18,18.0,430,20.0,2.0,0.0,0.0,,,,,
abreubo01,2011,1,LAA,AL,RF,10,10.0,244,9.0,0.0,1.0,0.0,,,,,
abreubo01,2012,1,LAA,AL,LF,6,6.0,135,10.0,0.0,0.0,0.0,,,,,
abreubo01,2012,1,LAA,AL,RF,1,1.0,24,1.0,0.0,0.0,0.0,,,,,
abreubo01,2012,2,LAN,NL,LF,46,42.0,959,56.0,2.0,1.0,1.0,,,,,
abreubo01,2012,2,LAN,NL,RF,1,1.0,15,3.0,0.0,0.0,0.0,,,,,
abreubo01,2014,1,NYN,NL,LF,5,5.0,111,6.0,0.0,0.0,0.0,,,,,
abreubo01,2014,1,NYN,NL,RF,26,21.0,507,31.0,0.0,2.0,0.0,,,,,
abreuwi02,2023,1,BOS,AL,CF,12,11.0,256,22.0,0.0,0.0,0.0,,,,,
abreuwi02,2023,1,BOS,AL,LF,12,8.0,228,16.0,2.0,0.0,1.0,,,,,
abreuwi02,2023,1,BOS,AL,RF,3,0.0,22,2.0,0.0,1.0,0.0,,,,,
abreuwi02,2024,1,BOS,AL,CF,1,0.0,6,1.0,0.0,0.0,0.0,,,,,
abreuwi02,2024,1,BOS,AL,LF,5,4.0,111,9.0,0.0,0.0,0.0,,,,,
abreuwi02,2024,1,BOS,AL,RF,125,106.0,2764,212.0,9.0,7.0,2.0,,,,,
abreuwi02,2025,1,BOS,AL,RF,104,95.0,2542,215.0,7.0,5.0,3.0,,,,,
