awardID,yearID,lgID,playerID,pointsWon,pointsMax,votesFirst
BBWAA Manager of the Year,2000,NL,aloufe01,1,160,0
BBWAA Manager of the Year,2000,NL,bakerdu01,154,160,30
BBWAA Manager of the Year,2000,NL,bellbu01,2,160,0
BBWAA Manager of the Year,2000,NL,bolesjo99,15,160,0
BBWAA Manager of the Year,2000,NL,coxbo01,41,160,1
BBWAA Manager of the Year,2000,AL,garneph01,2,140,0
BBWAA Manager of the Year,2000,AL,howear01,74,140,2
BBWAA Manager of the Year,2000,NL,larusto01,59,160,1
BBWAA Manager of the Year,2000,AL,manueje01,134,140,25
BBWAA Manager of the Year,2000,AL,pinielo01,28,140,1
BBWAA Manager of the Year,2000,AL,sciosmi01,8,140,0
BBWAA Manager of the Year,2000,AL,torrejo01,5,140,0
BBWAA Manager of the Year,2000,NL,valenbo02,16,160,0
BBWAA Manager of the Year,2000,AL,williji03,1,140,0
BBWAA Manager of the Year,2001,NL,bakerdu01,10,160,0
BBWAA Manager of the Year,2001,NL,baylodo01,13,160,0
BBWAA Manager of the Year,2001,NL,bowala01,113,160,18
BBWAA Manager of the Year,2001,NL,brenlbo01,43,160,3
BBWAA Manager of the Year,2001,NL,coxbo01,12,160,2
BBWAA Manager of the Year,2001,NL,dierkla01,21,160,1
BBWAA Manager of the Year,2001,AL,howear01,77,140,5
BBWAA Manager of the Year,2001,AL,kellyto01,25,140,1
BBWAA Manager of the Year,2001,NL,larusto01,38,160,4
BBWAA Manager of the Year,2001,AL,manuech01,1,140,0
BBWAA Manager of the Year,2001,AL,pinielo01,128,140,22
BBWAA Manager of the Year,2001,AL,sciosmi01,1,140,0
BBWAA Manager of the Year,2001,AL,torrejo01,8,140,0
BBWAA Manager of the Year,2001,NL,tracyji01,48,160,4
BBWAA Manager of the Year,2001,AL,williji03,12,140,0
BBWAA Manager of the Year,2002,NL,bakerdu01,18,160,1
BBWAA Manager of the Year,2002,NL,brenlbo01,2,160,0
BBWAA Manager of the Year,2002,NL,coxbo01,93,160,9
BBWAA Manager of the Year,2002,AL,gardero01,59,140,2
BBWAA Manager of the Year,2002,AL,howear01,74,140,9
BBWAA Manager of the Year,2002,NL,larusto01,129,160,22
BBWAA Manager of the Year,2002,NL,robinfr02,23,160,0
BBWAA Manager of the Year,2002,AL,sciosmi01,116,140,17
BBWAA Manager of the Year,2002,AL,torrejo01,3,140,0
BBWAA Manager of the Year,2002,NL,tracyji01,22,160,0
BBWAA Manager of the Year,2003,NL,aloufe01,51,160,5
BBWAA Manager of the Year,2003,NL,bakerdu01,62,160,2
BBWAA Manager of the Year,2003,NL,coxbo01,56,160,6
BBWAA Manager of the Year,2003,AL,gardero01,44,140,4
BBWAA Manager of the Year,2003,AL,littlgr99,19,140,0
BBWAA Manager of the Year,2003,AL,machake01,26,140,0
BBWAA Manager of the Year,2003,NL,mckeoja99,116,160,19
BBWAA Manager of the Year,2003,AL,penato01,130,140,24
BBWAA Manager of the Year,2003,AL,pinielo01,13,140,0
BBWAA Manager of the Year,2003,NL,robinfr02,3,160,0
BBWAA Manager of the Year,2003,AL,torrejo01,14,140,0
BBWAA Manager of the Year,2003,AL,toscaca99,3,140,0
BBWAA Manager of the Year,2003,AL,trammal01,1,140,0
BBWAA Manager of the Year,2003,AL,wedgeer01,2,140,0
BBWAA Manager of the Year,2004,NL,aloufe01,4,160,0
BBWAA Manager of the Year,2004,NL,bochybr01,3,160,0
BBWAA Manager of the Year,2004,NL,coxbo01,140,160,22
BBWAA Manager of the Year,2004,AL,francte01,8,140,0
BBWAA Manager of the Year,2004,AL,gardero01,91,140,11
BBWAA Manager of the Year,2004,NL,garneph01,27,160,2
BBWAA Manager of the Year,2004,NL,larusto01,62,160,4
BBWAA Manager of the Year,2004,AL,sciosmi01,31,140,2
BBWAA Manager of the Year,2004,AL,showabu99,101,140,14
BBWAA Manager of the Year,2004,AL,torrejo01,18,140,1
