yearID,round,teamIDwinner,lgIDwinner,teamIDloser,lgIDloser,wins,losses,ties
2000,ALCS,NYA,AL,SEA,AL,4,2,0
2000,ALDS1,NYA,AL,OAK,AL,3,2,0
2000,ALDS2,SEA,AL,CHA,AL,3,0,0
2000,NLCS,NYN,NL,SLN,NL,4,1,0
2000,NLDS1,SLN,NL,ATL,NL,3,0,0
2000,NLDS2,NYN,NL,SFN,NL,3,1,0
2000,WS,NYA,AL,NYN,NL,4,1,0
2001,ALCS,NYA,AL,SEA,AL,4,1,0
2001,ALDS1,SEA,AL,CLE,AL,3,2,0
2001,ALDS2,NYA,AL,OAK,AL,3,2,0
2001,NLCS,ARI,NL,ATL,NL,4,1,0
2001,NLDS1,ATL,NL,HOU,NL,3,0,0
2001,NLDS2,ARI,NL,SLN,NL,3,2,0
2001,WS,ARI,NL,NYA,AL,4,3,0
2002,ALCS,ANA,AL,MIN,AL,4,1,0
2002,ALDS1,ANA,AL,NYA,AL,3,1,0
2002,ALDS2,MIN,AL,OAK,AL,3,2,0
2002,NLCS,SFN,NL,SLN,NL,4,1,0
2002,NLDS1,SFN,NL,ATL,NL,3,2,0
2002,NLDS2,SLN,NL,ARI,NL,3,0,0
2002,WS,ANA,AL,SFN,NL,4,3,0
2003,ALCS,NYA,AL,BOS,AL,4,3,0
2003,ALDS1,NYA,AL,MIN,AL,3,1,0
2003,ALDS2,BOS,AL,OAK,AL,3,2,0
2003,NLCS,FLO,NL,CHN,NL,4,3,0
2003,NLDS1,FLO,NL,SFN,NL,3,1,0
2003,NLDS2,CHN,NL,ATL,NL,3,2,0
2003,WS,FLO,NL,NYA,AL,4,2,0
2004,ALCS,BOS,AL,NYA,AL,4,3,0
2004,ALDS1,BOS,AL,ANA,AL,3,0,0
2004,ALDS2,NYA,AL,MIN,AL,3,1,0
2004,NLCS,SLN,NL,HOU,NL,4,3,0
2004,NLDS1,SLN,NL,LAN,NL,3,1,0
2004,NLDS2,HOU,NL,ATL,NL,3,2,0
2004,WS,BOS,AL,SLN,NL,4,0,0
2005,ALCS,CHA,AL,LAA,AL,4,1,0
2005,ALDS1,CHA,AL,BOS,AL,3,0,0
2005,ALDS2,LAA,AL,NYA,AL,3,2,0
2005,NLCS,HOU,NL,SLN,NL,4,2,0
2005,NLDS1,SLN,NL,SDN,NL,3,0,0
2005,NLDS2,HOU,NL,ATL,NL,3,1,0
2005,WS,CHA,AL,HOU,NL,4,0,0
2006,ALCS,DET,AL,OAK,AL,4,0,0
2006,ALDS1,DET,AL,NYA,AL,3,1,0
2006,ALDS2,OAK,AL,MIN,AL,3,0,0
2006,NLCS,SLN,NL,NYN,NL,4,3,0
2006,NLDS1,NYN,NL,LAN,NL,3,0,0
2006,NLDS2,SLN,NL,SDN,NL,3,1,0
2006,WS,SLN,NL,DET,AL,4,1,0
2007,ALCS,BOS,AL,CLE,AL,4,3,0
2007,ALDS1,BOS,AL,LAA,AL,3,0,0
2007,ALDS2,CLE,AL,NYA,AL,3,1,0
2007,NLCS,COL,NL,ARI,NL,4,0,0
2007,NLDS1,ARI,NL,CHN,NL,3,0,0
2007,NLDS2,COL,NL,PHI,NL,3,0,0
2007,WS,BOS,AL,COL,NL,4,0,0
2008,ALCS,TBA,AL,BOS,AL,4,3,0
2008,ALDS1,BOS,AL,LAA,AL,3,1,0
2008,ALDS2,TBA,AL,CHA,AL,3,1,0
2008,NLCS,PHI,NL,LAN,NL,4,1,0
2008,NLDS1,LAN,NL,CHN,NL,3,0,0
2008,NLDS2,PHI,NL,MIL,NL,3,1,0
2008,WS,PHI,NL,TBA,AL,4,1,0
2009,ALCS,NYA,AL,LAA,AL,4,2,0
2009,ALDS1,NYA,AL,MIN,AL,3,0,0
2009,ALDS2,LAA,AL,BOS,AL,3,0,0
2009,NLCS,PHI,NL,LAN,NL,4,1,0
2009,NLDS1,LAN,NL,SLN,NL,3,0,0
2009,NLDS2,PHI,NL,COL,NL,3,1,0
2009,WS,NYA,AL,PHI,NL,4,2,0
2010,ALCS,TEX,AL,NYA,AL,4,2,0
2010,ALDS1,TEX,AL,TBA,AL,3,2,0
2010,ALDS2,NYA,AL,MIN,AL,3,0,0
2010,NLCS,SFN,NL,PHI,NL,4,2,0
2010,NLDS1,PHI,NL,CIN,NL,3,0,0
2010,NLDS2,SFN,NL,ATL,NL,3,1,0
2010,WS,SFN,NL,TEX,AL,4,1,0
2011,ALCS,TEX,AL,DET,AL,4,2,0
2011,ALDS1,DET,AL,NYA,AL,3,2,0
2011,ALDS2,TEX,AL,TBA,AL,3,1,0
2011,NLCS,SLN,NL,MIL,NL,4,2,0
2011,NLDS1,SLN,NL,PHI,NL,3,2,0
2011,NLDS2,MIL,NL,ARI,NL,3,2,0
2011,WS,SLN,NL,TEX,AL,4,3,0
2012,ALCS,DET,AL,NYA,AL,4,0,0
2012,ALDS1,NYA,AL,BAL,AL,3,2,0
2012,ALDS2,DET,AL,OAK,AL,3,2,0
2012,ALWC,BAL,AL,TEX,AL,1,0,0
2012,NLCS,SFN,NL,SLN,NL,4,3,0
2012,NLDS1,SLN,NL,WAS,NL,3,2,0
2012,NLDS2,SFN,NL,CIN,NL,3,2,0
2012,NLWC,SLN,NL,ATL,NL,1,0,0
2012,WS,SFN,NL,DET,AL,4,0,0
2013,ALCS,BOS,AL,DET,AL,4,2,0
2013,ALDS1,BOS,AL,TBA,AL,3,1,0
2013,ALDS2,DET,AL,OAK,AL,3,2,0
2013,ALWC,TBA,AL,CLE,AL,1,0,0
2013,NLCS,SLN,NL,LAN,NL,4,2,0
2013,NLDS1,SLN,NL,PIT,NL,3,2,0
2013,NLDS2,LAN,NL,ATL,NL,3,1,0
2013,NLWC,PIT,NL,CIN,NL,1,0,0
2013,WS,BOS,AL,SLN,NL,4,3,0
2014,ALCS,KCA,AL,BAL,AL,4,0,0
2014,ALDS1,KCA,AL,LAA,AL,3,0,0
2014,ALDS2,BAL,AL,DET,AL,3,0,0
2014,ALWC,KCA,AL,OAK,AL,1,0,0
2014,NLCS,SFN,NL,SLN,NL,4,1,0
2014,NLDS1,SFN,NL,WAS,NL,3,1,0
2014,NLDS2,SLN,NL,LAN,NL,3,1,0
2014,NLWC,SFN,NL,PIT,NL,1,0,0
2014,WS,SFN,NL,KCA,AL,4,3,0
2015,ALCS,KCA,AL,TOR,AL,4,2,0
2015,ALDS1,KCA,AL,HOU,AL,3,2,0
2015,ALDS2,TOR,AL,TEX,AL,3,2,0
2015,ALWC,HOU,AL,NYA,AL,1,0,0
2015,NLCS,NYN,NL,CHN,NL,4,0,0
2015,NLDS1,CHN,NL,SLN,NL,3,1,0
2015,NLDS2,NYN,NL,LAN,NL,3,2,0
2015,NLWC,CHN,NL,PIT,NL,1,0,0
2015,WS,KCA,AL,NYN,NL,4,1,0
2016,ALCS,CLE,AL,TOR,AL,4,1,0
2016,ALDS1,TOR,AL,TEX,AL,3,0,0
2016,ALDS2,CLE,AL,BOS,AL,3,0,0
2016,ALWC,TOR,AL,BAL,AL,1,0,0
2016,NLCS,CHN,NL,LAN,NL,4,2,0
2016,NLDS1,CHN,NL,SFN,NL,3,1,0
2016,NLDS2,LAN,NL,WAS,NL,3,2,0
2016,NLWC,SFN,NL,NYN,NL,1,0,0
2016,WS,CHN,NL,CLE,AL,4,3,0
2017,ALCS,HOU,AL,NYA,AL,4,3,0
2017,ALDS1,NYA,AL,CLE,AL,3,2,0
2017,ALDS2,HOU,AL,BOS,AL,3,1,0
2017,ALWC,NYA,AL,MIN,AL,1,0,0
2017,NLCS,LAN,NL,CHN,NL,4,1,0
2017,NLDS1,LAN,NL,ARI,NL,3,0,0
2017,NLDS2,CHN,NL,WAS,NL,3,2,0
2017,NLWC,ARI,NL,COL,NL,1,0,0
2017,WS,HOU,AL,LAN,NL,4,3,0
2018,ALCS,BOS,AL,HOU,AL,4,1,0
2018,ALDS1,BOS,AL,NYA,AL,3,1,0
2018,ALDS2,HOU,AL,CLE,AL,3,0,0
2018,ALWC,NYA,AL,OAK,AL,1,0,0
2018,NLCS,LAN,NL,MIL,NL,4,3,0
2018,NLDS1,MIL,NL,COL,NL,3,0,0
2018,NLDS2,LAN,NL,ATL,NL,3,1,0
2018,NLWC,COL,NL,CHN,NL,1,0,0
2018,WS,BOS,AL,LAN,NL,4,1,0
2019,ALCS,HOU,AL,NYA,AL,4,2,0
2019,ALDS1,HOU,AL,TBA,AL,3,2,0
2019,ALDS2,NYA,AL,MIN,AL,3,0,0
2019,ALWC,TBA,AL,OAK,AL,1,0,0
2019,NLCS,WAS,NL,SLN,NL,4,0,0
2019,NLDS1,WAS,NL,LAN,NL,3,2,0
2019,NLDS2,SLN,NL,ATL,NL,3,2,0
2019,NLWC,WAS,NL,MIL,NL,1,0,0
2019,WS,WAS,NL,HOU,AL,4,3,0
2020,ALCS,TBA,AL,HOU,AL,4,3,0
2020,ALDS1,TBA,AL,NYA,AL,3,2,0
2020,ALDS2,HOU,AL,OAK,AL,3,1,0
2020,ALWC1,TBA,AL,TOR,AL,2,0,0
2020,ALWC2,NYA,AL,CLE,AL,2,0,0
2020,ALWC3,HOU,AL,MIN,AL,2,0,0
2020,ALWC4,OAK,AL,CHA,AL,2,1,0
2020,NLCS,LAN,NL,ATL,NL,4,3,0
2020,NLDS1,LAN,NL,SDN,NL,3,0,0
2020,NLDS2,ATL,NL,MIA,NL,3,0,0
2020,NLWC1,LAN,NL,MIL,NL,2,0,0
2020,NLWC2,SDN,NL,SLN,NL,2,1,0
2020,NLWC3,MIA,NL,CHN,NL,2,0,0
2020,NLWC4,ATL,NL,CIN,NL,2,0,0
2020,WS,LAN,NL,TBA,AL,4,2,0
2021,ALCS,HOU,AL,BOS,AL,4,2,0
2021,ALDS1,HOU,AL,CHA,AL,3,1,0
2021,ALDS2,BOS,AL,TBA,AL,3,1,0
2021,ALWC,BOS,AL,NYA,AL,1,0,0
2021,NLCS,ATL,NL,LAN,NL,4,2,0
2021,NLDS1,ATL,NL,MIL,NL,3,1,0
2021,NLDS2,LAN,NL,SFN,NL,3,2,0
2021,NLWC,LAN,NL,SLN,NL,1,0,0
2021,WS,ATL,NL,HOU,AL,4,2,0
2022,ALCS,HOU,AL,NYA,AL,4,0,0
2022,ALDS1,NYA,AL,CLE,AL,3,2,0
2022,ALDS2,HOU,AL,SEA,AL,3,0,0
2022,ALWC1,CLE,AL,TBA,AL,2,0,0
2022,ALWC2,SEA,AL,TOR,AL,2,0,0
2022,NLCS,PHI,NL,SDN,NL,4,1,0
2022,NLDS1,PHI,NL,ATL,NL,3,1,0
2022,NLDS2,SDN,NL,LAN,NL,3,1,0
2022,NLWC1,SDN,NL,NYN,NL,2,1,0
2022,NLWC2,PHI,NL,SLN,NL,2,0,0
2022,WS,HOU,AL,PHI,NL,4,2,0
2023,ALCS,TEX,AL,HOU,AL,4,3,0
2023,ALDS1,TEX,AL,BAL,AL,3,0,0
2023,ALDS2,HOU,AL,MIN,AL,3,1,0
2023,ALWC1,TEX,AL,TBA,AL,2,0,0
2023,ALWC2,MIN,AL,TOR,AL,2,0,0
2023,NLCS,ARI,NL,PHI,NL,4,3,0
2023,NLDS1,PHI,NL,ATL,NL,3,1,0
2023,NLDS2,ARI,NL,LAN,NL,3,0,0
2023,NLWC1,ARI,NL,MIL,NL,2,0,0
2023,NLWC2,PHI,NL,MIA,NL,2,0,0
2023,WS,TEX,AL,ARI,NL,4,1,0
2024,ALCS,NYA,AL,CLE,AL,4,1,0
2024,ALDS1,CLE,AL,DET,AL,3,2,0
2024,ALDS2,NYA,AL,KCA,AL,3,1,0
2024,ALWC1,DET,AL,HOU,AL,2,0,0
2024,ALWC2,KCA,AL,BAL,AL,2,0,0
2024,NLCS,LAN,NL,NYN,NL,4,2,0
2024,NLDS1,NYN,NL,PHI,NL,3,1,0
2024,NLDS2,LAN,NL,SDN,NL,3,2,0
2024,NLWC1,NYN,NL,MIL,NL,2,1,0
2024,NLWC2,SDN,NL,ATL,NL,2,0,0
2024,WS,LAN,NL,NYA,AL,4,1,0
2025,ALCS,TOR,AL,SEA,AL,4,3,0
2025,ALDS1,TOR,AL,NYA,AL,3,1,0
2025,ALDS2,SEA,AL,DET,AL,3,2,0
2025,ALWC1,DET,AL,CLE,AL,2,1,0
2025,ALWC2,NYA,AL,BOS,AL,2,1,0
2025,NLCS,LAN,NL,MIL,NL,4,0,0
2025,NLDS1,MIL,NL,CHN,NL,3,2,0
2025,NLDS2,LAN,NL,PHI,NL,3,1,0
2025,NLWC1,LAN,NL,CIN,NL,2,0,0
2025,NLWC2,CHN,NL,SDN,NL,2,1,0
2025,WS,LAN,NL,TOR,AL,4,3,0
