mlbam_id,season,date,type_desc,description
701719.0,2023,2023-03-01,Assigned,LHP Tyler Samaniego and  assigned to Pittsburgh Pirates.
605652.0,2023,2023-03-01,Assigned,RHP Julio Vivas assigned to Colombia.
656382.0,2023,2023-03-01,Status Change,RHP Tommy Doyle roster status changed by Colorado Rockies.
596059.0,2023,2023-03-01,Signed as Free Agent,San Diego Padres signed free agent 2B Rougned Odor to a minor league contract and invited him to spring training.
605361.0,2023,2023-03-01,Assigned,LF Nick Martini and  assigned to Cincinnati Reds.
,2023,2023-03-01,Assigned,LF Nick Martini and  assigned to Cincinnati Reds.
680430.0,2023,2023-03-01,Assigned,LHP Nick Allgeyer assigned to Toronto Blue Jays.
689414.0,2023,2023-03-01,Assigned,C Liam Hicks assigned to Texas Rangers.
596059.0,2023,2023-03-01,Assigned,2B Rougned Odor assigned to El Paso Chihuahuas.
676616.0,2023,2023-03-01,Released,Fort Wayne TinCaps released SS Olivier Basabe.
676017.0,2023,2023-03-01,Assigned,C Micael Ramirez and  assigned to Cleveland Guardians.
,2023,2023-03-01,Assigned,C Micael Ramirez and  assigned to Cleveland Guardians.
681875.0,2023,2023-03-01,Status Change,RHP Theo McDowell roster status changed by Texas Rangers.
687005.0,2023,2023-03-01,Status Change,CF Kellen Strahm roster status changed by Texas Rangers.
,2023,2023-03-01,Status Change,C Liam Hicks roster status changed by Texas Rangers.
,2023,2023-03-01,Status Change,RHP Tommy Doyle roster status changed by Colorado Rockies.
686449.0,2023,2023-03-01,Status Change,RHP Michael McAvene roster status changed by Chicago Cubs.
,2023,2023-03-01,Status Change,RHP Michael McAvene roster status changed by Chicago Cubs.
678099.0,2023,2023-03-01,Assigned,C Gavin Logan assigned to Arizona Diamondbacks.
656382.0,2023,2023-03-01,Status Change,RHP Tommy Doyle roster status changed by Colorado Rockies.
,2023,2023-03-01,Status Change,RHP T.J. Brock roster status changed by Toronto Blue Jays.
657252.0,2023,2023-03-01,Status Change,RHP Brady Puckett roster status changed by Miami Marlins.
,2023,2023-03-01,Status Change,RHP Brady Puckett roster status changed by Miami Marlins.
687005.0,2023,2023-03-01,Status Change,CF Kellen Strahm roster status changed by Texas Rangers.
,2023,2023-03-01,Status Change,CF Kellen Strahm roster status changed by Texas Rangers.
,2023,2023-03-01,Assigned,RHP Tommy Doyle and  assigned to Colorado Rockies.
656382.0,2023,2023-03-01,Assigned,RHP Tommy Doyle and  assigned to Colorado Rockies.
677601.0,2023,2023-03-01,Assigned,SS Keyber Rodriguez assigned to Texas Rangers.
686449.0,2023,2023-03-01,Assigned,RHP Michael McAvene assigned to Chicago Cubs.
681583.0,2023,2023-03-01,Released,Fort Wayne TinCaps released LHP Alexuan Vega.
806628.0,2023,2023-03-01,Status Change,RHP Alex Bustamante roster status changed by New York Yankees.
,2023,2023-03-01,Status Change,RHP Alex Bustamante roster status changed by New York Yankees.
678736.0,2023,2023-03-01,Released,ACL Padres released RHP Miguel Rondon.
672357.0,2023,2023-03-01,Status Change,SS Jordy Barley roster status changed by Washington Nationals.
669386.0,2023,2023-03-01,Status Change,2B Trevor Hauver roster status changed by Texas Rangers.
687331.0,2023,2023-03-01,Assigned,SS Quincy McAfee and  assigned to Cincinnati Reds.
,2023,2023-03-01,Assigned,SS Quincy McAfee and  assigned to Cincinnati Reds.
689414.0,2023,2023-03-01,Status Change,C Liam Hicks roster status changed by Texas Rangers.
697813.0,2023,2023-03-01,Status Change,RHP T.J. Brock roster status changed by Toronto Blue Jays.
678006.0,2023,2023-03-01,Status Change,OF Nick Decker roster status changed by Boston Red Sox.
695398.0,2023,2023-03-01,Status Change,RHP Maceo Campbell roster status changed by Boston Red Sox.
656382.0,2023,2023-03-01,Status Change,RHP Tommy Doyle roster status changed by Colorado Rockies.
683145.0,2023,2023-03-01,Assigned,CF Colin Barber assigned to Houston Astros.
695734.0,2023,2023-03-01,Assigned,OF Daylen Lile assigned to Washington Nationals.
676463.0,2023,2023-03-01,Assigned,SS Hayden Cantrelle assigned to San Francisco Giants.
806628.0,2023,2023-03-01,Status Change,RHP Alex Bustamante roster status changed by New York Yankees.
671276.0,2023,2023-03-01,Assigned,SS Yasel Antuna and  assigned to Washington Nationals.
800167.0,2023,2023-03-01,Status Change,3B Misael Mojica roster status changed by Washington Nationals.
695734.0,2023,2023-03-01,Status Change,OF Daylen Lile roster status changed by Washington Nationals.
596059.0,2023,2023-03-01,Status Change,2B Rougned Odor roster status changed by San Diego Padres.
