person_id,era
663556,3.29
663559,5.36
663562,8.7
663567,5.36
622608,4.7
669713,4.63
665622,5.42
694297,5.72
596001,3.87
593958,3.3
677944,4.33
682052,4.38
675911,3.86
622663,6.65
663623,4.61
677960,6.55
608331,2.55
608334,2.7
608337,4.88
608344,4.42
694363,5.81
657514,3.2
571510,5.45
608379,3.22
641149,20.25
641154,3.66
663687,7.14
686218,4.92
645261,4.14
663704,4.63
669854,4.5
542881,5.43
657571,3.43
596133,6.4
542888,1.38
647336,6.4
622766,0.64
622772,3.86
571578,5.2
663738,4.64
682175,5.06
665795,4.24
663753,15.88
434378,3.22
674003,5.3
663765,6.23
663773,5.48
663776,4.11
571616,6.75
669923,3.35
682227,4.46
676083,4.91
598264,5.48
669947,5.29
676092,4.87
518397,4.66
682243,4.32
676106,4.5
665871,3.05
641302,4.5
674072,4.15
502043,4.73
676130,3.64
680232,5.4
608566,4.95
543037,2.63
596295,5.5
657746,4.51
657756,7.52
670046,3.82
663903,5.52
592229,3.77
547179,4.18
571760,4.15
518516,10.26
641401,4.03
543101,4.88
608638,3.61
592254,4.67
663941,3.92
502171,3.87
676254,3.23
543135,3.63
643493,2.98
670124,10.07
676272,3.76
518585,4.91
641482,4.97
592332,3.16
608718,3.38
670167,3.86
571863,5.12
621016,3.99
664028,6.5
670174,2.88
592351,4.12
571882,3.6
678394,4.24
664062,4.98
621057,7.36
641540,3.7
543243,2.79
666129,3.66
686610,5.36
621076,6.34
686613,5.09
571927,3.86
672282,4.48
694813,9.0
666142,3.47
670241,3.98
571945,4.78
666154,8.23
571946,1.71
666157,6.29
666159,3.58
641585,3.83
621107,3.5
621112,4.43
686651,9.58
543294,3.74
623167,6.86
506433,4.56
674370,5.86
666200,3.58
666201,5.87
676440,2.98
666204,3.47
666205,7.6
666214,6.9
572020,4.5
641656,2.64
680570,4.35
676477,5.15
664192,2.89
664199,5.95
641672,4.08
672391,6.26
686730,6.92
674444,4.97
594577,6.15
594580,3.03
686752,2.14
686753,3.32
666277,3.81
453286,3.77
641712,4.98
676534,7.01
621244,3.65
527048,4.45
527054,4.4
641745,4.57
518876,3.29
664285,3.45
664299,4.56
641771,8.45
680686,3.91
680689,8.64
641778,6.56
543475,6.28
676596,4.7
680694,2.83
686839,5.09
641793,4.1
680723,8.02
592662,8.1
641816,3.16
543518,4.73
680735,4.54
664353,5.29
543521,4.3
660261,7.18
680742,3.0
690986,4.15
660271,3.14
621366,2.45
676664,4.54
543548,2.0
672578,5.27
621381,3.29
672582,4.85
621383,4.43
676684,2.98
621389,5.54
607067,4.55
656222,5.95
682847,4.78
502624,5.42
607074,6.85
676710,4.04
471911,6.8
656232,3.83
656234,4.33
594798,2.67
623474,4.66
674681,22.09
686973,4.63
592767,5.0
641927,3.43
594835,5.22
592789,6.5
641941,2.99
592791,4.84
656288,4.32
676775,4.68
656302,4.58
592826,3.86
592836,4.38
672710,6.59
541640,6.41
695243,3.78
672715,4.57
605135,3.6
594902,5.38
607192,3.53
656353,5.96
592866,5.55
605154,3.99
682990,7.74
668665,5.61
605182,3.77
594943,6.67
668676,7.59
668678,3.47
605200,7.0
607259,3.43
656412,4.45
500779,3.57
656427,4.99
605242,4.42
689225,3.6
519242,4.3
672851,6.45
666720,7.9
646242,10.29
547943,3.46
605288,4.12
660593,7.78
689266,7.6
666745,4.28
683155,7.2
668834,0.0
683175,6.97
642216,5.29
656557,5.01
642232,4.52
693433,4.21
642239,4.79
670912,4.31
656578,4.99
668868,4.48
668873,16.88
668881,4.82
605397,3.05
605400,4.46
658648,3.22
656605,4.21
681190,2.87
670950,4.95
668909,3.29
656629,5.43
670970,7.0
681217,3.96
668933,4.76
630023,5.4
570632,6.45
615698,5.24
605463,5.6
660761,8.29
570666,9.0
605483,2.25
607536,5.03
605488,0.56
605513,7.26
660813,1.2
656730,3.63
656731,4.7
669022,4.42
685410,5.19
605540,2.28
656756,3.2
671096,3.87
671106,3.81
691587,3.15
607625,3.57
650633,2.75
595345,4.45
650644,3.46
656794,3.0
671131,6.75
607644,2.66
665001,5.87
660906,5.94
656818,11.45
593334,4.56
554430,3.61
640455,4.44
656849,5.03
445926,1.56
669160,2.63
671212,1.69
656876,2.62
642545,5.68
642547,3.86
622072,4.33
624133,4.18
622088,1.59
669194,5.31
669203,3.39
669211,6.85
548389,5.36
572971,5.97
693821,3.81
665152,4.12
656970,6.45
573009,4.62
669276,4.18
628317,4.23
679525,5.69
657006,3.06
601713,4.04
669302,3.73
657031,8.15
669330,3.64
450203,3.64
657053,4.97
650911,3.44
489119,3.14
622251,5.4
448179,5.41
687798,6.04
669373,2.8
657093,10.38
669387,2.25
642770,6.05
669395,8.84
675540,4.07
687830,2.7
607968,9.0
669424,5.26
657140,6.97
669432,4.0
683769,4.5
669438,5.46
579328,3.86
573186,3.95
673540,2.98
669456,3.8
669459,4.18
677651,4.0
669461,5.25
614179,5.89
675627,6.13
456501,6.02
661309,4.75
425794,7.4
663362,4.35
696136,4.41
659275,11.71
663372,5.82
681806,3.89
425844,5.06
657277,3.25
663423,2.01
681857,3.99
681869,7.0
681882,9.0
622491,3.34
446372,7.04
663460,3.94
663465,6.57
663474,5.06
681911,4.35
458681,5.73
700363,4.26
477132,2.46
657376,4.64
628711,4.6
669674,5.6
671737,5.59
