person_id,era
663554,3.44
691587,3.17
663556,3.1
694918,3.58
693645,2.16
691725,6.04
686613,3.51
672282,3.62
622491,5.19
695076,5.13
656550,3.64
687273,6.43
656302,2.37
669373,2.91
665152,5.22
683003,4.76
681035,3.73
656849,5.17
674003,3.05
676440,3.97
800600,8.03
701656,2.6
687064,3.5
623454,4.09
663776,4.54
608372,4.96
608379,3.49
808963,4.6
663558,2.89
808967,2.56
663559,13.97
675848,5.66
702474,4.72
663567,3.66
663568,4.5
669713,3.86
665622,3.64
694297,3.51
669724,5.06
596001,2.84
593958,2.5
806960,13.5
593974,3.38
677944,5.07
661563,6.05
677952,3.59
682052,4.98
694341,9.45
677958,4.41
663623,5.62
677960,3.6
622663,4.16
694346,7.36
608331,2.81
675911,5.31
608337,5.16
677976,1.92
694361,3.67
694360,3.86
702566,4.05
690279,2.25
657514,2.72
667755,3.43
571510,3.99
678022,6.68
673929,6.27
686218,5.29
645261,3.38
647315,3.68
675989,5.4
669854,7.71
657571,5.23
647336,3.4
571578,5.51
663738,2.93
694462,8.44
671936,4.91
665795,5.68
434378,12.27
694477,3.34
669920,9.33
669923,4.02
676083,4.21
682227,6.11
669947,4.03
700669,2.98
682243,4.12
676106,3.37
682254,3.19
665871,3.46
641302,3.47
813349,3.44
700712,2.94
663855,3.83
643377,3.63
608566,5.26
543037,3.19
657746,3.65
663903,4.72
547179,7.08
801139,3.09
663947,3.06
684442,5.4
543135,4.21
663969,3.59
700842,6.3
663978,6.79
663992,3.86
676282,3.7
592332,4.37
608718,3.7
694738,4.34
678394,4.68
688642,5.68
664074,3.86
543243,2.82
666129,14.54
571927,6.17
666142,4.84
694819,1.73
571945,5.82
621097,2.4
666157,5.24
621107,2.45
621111,4.63
621112,1.7
664126,6.02
621121,6.55
664141,3.58
672335,4.97
666200,3.09
623211,3.16
680570,6.03
801403,3.89
680573,6.68
674444,4.44
453286,7.02
694973,3.79
686790,5.12
672456,3.3
527048,3.12
641743,4.09
686799,6.19
676571,2.7
518876,5.35
664285,4.35
668390,5.63
664299,6.47
572143,3.18
690928,3.67
680689,13.5
641778,4.78
680694,4.03
695034,10.66
699134,1.95
641793,5.21
690953,3.98
606996,3.98
623381,6.0
592662,3.21
641816,4.41
680732,3.32
680736,3.56
664353,6.63
680744,3.46
805673,4.86
690986,2.79
641835,3.34
690990,2.45
660271,1.79
680755,3.36
690997,3.21
676664,4.68
807739,4.76
807743,8.87
621383,7.14
686930,7.08
607067,4.55
607074,3.15
680802,7.62
594798,4.21
623474,6.2
641927,4.49
592791,5.68
656288,6.19
592836,9.13
605135,4.74
678868,1.8
607192,3.02
607200,4.18
687075,5.27
625643,3.64
678906,4.22
683004,5.29
668678,6.34
676879,3.28
674841,3.72
607259,2.93
656427,4.59
500779,5.27
676917,3.21
685126,6.29
642121,4.86
519242,2.07
656457,17.18
605280,2.26
676962,1.85
689254,3.52
701542,4.39
605288,4.02
656492,3.19
676974,2.68
676979,6.3
687223,7.71
695418,3.74
660604,5.88
703615,5.6
683155,8.31
642232,3.42
693433,4.36
687312,6.61
695505,2.77
668881,6.83
605400,5.03
656605,5.29
681190,4.02
668909,3.98
695534,4.83
685299,5.38
695549,3.93
656641,1.68
670990,3.15
664849,8.03
615698,2.9
701719,2.66
660761,5.22
689441,5.3
668964,6.26
605483,2.57
806188,5.87
607536,6.37
800048,2.5
605488,6.08
668984,3.84
695611,4.69
681293,4.81
683352,4.54
669020,2.82
669022,4.4
683363,6.35
605540,2.98
687473,3.98
671096,4.15
681343,10.8
671106,2.92
681347,5.99
695684,4.7
669062,2.09
671111,5.4
607625,4.61
650633,3.23
595345,2.17
650644,4.66
814490,7.88
656794,2.28
669084,2.3
804267,2.88
476594,7.4
693686,2.95
554430,3.4
640455,4.55
687562,3.49
687570,5.55
669160,4.56
656876,2.95
669165,4.61
671212,5.21
642547,5.11
687606,6.4
624133,3.35
669194,4.97
669199,3.7
669211,5.68
681517,3.13
800311,2.43
693821,3.95
691799,2.11
693855,4.21
683618,2.82
702056,3.65
802408,6.0
837227,5.32
601713,4.5
669302,3.36
702070,3.98
687765,21.21
689818,6.93
650911,2.62
669358,4.04
675512,1.86
669372,3.71
669387,4.17
691946,3.67
691951,5.08
702193,3.79
669432,4.38
669438,4.54
579328,6.25
673540,7.79
696070,3.34
669456,4.37
669461,5.44
669467,3.57
687911,4.75
687931,6.49
702273,6.06
663362,7.15
702275,4.5
687941,1.31
667463,3.99
696136,10.45
702281,5.4
675660,3.84
663372,6.08
700241,3.86
681810,4.5
696149,4.26
700249,4.45
679775,4.95
702303,2.16
657277,3.72
663436,4.32
663460,4.11
669620,4.5
679883,5.53
700363,5.93
696270,5.75
684007,3.78
688107,4.59
669684,4.2
663542,3.27
671737,3.97
