mlbam_id,season,date,type_desc,description
284566.0,2009,2009-03-01,Signed as Free Agent,Norfolk Tides signed free agent Adam Eaton.
458696.0,2009,2009-03-02,Assigned,Eric Barrett assigned to GCL Braves.
431167.0,2009,2009-03-02,Signed as Free Agent,Indianapolis Indians signed free agent LF Larry Broadway.
518771.0,2009,2009-03-02,Signed,St. Louis Cardinals signed RHP Mitch Harris.
542445.0,2009,2009-03-03,Signed,DSL Mariners signed RHP Mario De Jesus.
570635.0,2009,2009-03-04,Signed as Free Agent,Florida Marlins signed free agent C Joel Jimenez to a minor league contract.
570702.0,2009,2009-03-05,Signed as Free Agent,Toronto Blue Jays signed free agent CF Carlos Ramirez to a minor league contract.
441292.0,2009,2009-03-08,Signed as Free Agent,Fresno Grizzlies signed free agent Felix Romero.
450313.0,2009,2009-03-11,Status Change,Terrell Young roster status changed by Washington Nationals.
448656.0,2009,2009-03-12,Outrighted,San Diego Padres sent Chad Reineke outright to Portland Beavers.
434679.0,2009,2009-03-12,Released,Atlanta Braves released RHP Anthony Lerew.
150305.0,2009,2009-03-13,Signed as Free Agent,Colorado Springs Sky Sox signed free agent LHP Damian Moss.
448240.0,2009,2009-03-14,Released,Carolina Mudcats released CF Dante Brinkley.
489567.0,2009,2009-03-14,Signed,Tri-City Dust Devils signed Alan Johnson.
459988.0,2009,2009-03-16,Optioned,Toronto Blue Jays optioned RHP Robert Ray to Las Vegas 51s.
456630.0,2009,2009-03-16,Optioned,Toronto Blue Jays optioned LHP Davis Romero to Las Vegas 51s.
458913.0,2009,2009-03-16,Optioned,Colorado Rockies optioned Eric Young to Colorado Springs Sky Sox.
461862.0,2009,2009-03-16,Optioned,Colorado Rockies optioned RHP Steven Register to Colorado Springs Sky Sox.
501826.0,2009,2009-03-16,Assigned,LHP Clay Zavada assigned to Arizona Diamondbacks.
458919.0,2009,2009-03-16,Optioned,Colorado Rockies optioned Ryan Mattheus to Colorado Springs Sky Sox.
452667.0,2009,2009-03-16,Status Change,Louisville Bats placed LHP Tyler Pelland on the restricted list.
444865.0,2009,2009-03-16,Optioned,Colorado Rockies optioned RHP Jason Hirsh to Colorado Springs Sky Sox.
502623.0,2009,2009-03-16,Status Change,Billings Mustangs placed RHP Brandon Rice on the restricted list.
501809.0,2009,2009-03-16,Retired,DH Jake Smith retired.
132260.0,2009,2009-03-17,Signed as Free Agent,Omaha Royals signed free agent Sidney Ponson.
457635.0,2009,2009-03-19,Trade,Winston-Salem Dash traded 2B Sergio Miranda to Brevard County Manatees.
461436.0,2009,2009-03-19,Status Change,Lake Elsinore Storm placed C Barry Gunther on the restricted list.
504386.0,2009,2009-03-20,Released,Lake County Captains released 1B Todd Martin.
456656.0,2009,2009-03-20,Assigned,OF Tim Battle assigned to Trenton Thunder from Scranton/Wilkes-Barre Yankees.
543279.0,2009,2009-03-22,Status Change,2B Daniel Hargrave roster status changed by Williamsport Crosscutters.
150284.0,2009,2009-03-22,Outrighted,New York Mets sent RHP Brandon Knight outright to Buffalo Bisons.
456804.0,2009,2009-03-22,Released,Lynchburg Hillcats released C Christopher Jones.
501239.0,2009,2009-03-22,Released,Boise Hawks released LHP Harol Tolentino.
455755.0,2009,2009-03-22,Reinstated,C Chris Stewart reinstated to Scranton/Wilkes-Barre Yankees.
457793.0,2009,2009-03-22,Released,GCL Pirates released RHP Ivan Herrera-Rusova.
463713.0,2009,2009-03-23,Assigned,LHP Kris Regas assigned to Erie SeaWolves.
444487.0,2009,2009-03-23,Signed as Free Agent,Toledo Mud Hens signed free agent Angel Flores.
518491.0,2009,2009-03-23,Retired,RHP Gerard Breslin retired.
457597.0,2009,2009-03-23,Released,Batavia Muckdogs released C Christian Rosa.
502036.0,2009,2009-03-24,Released,Everett AquaSox released RHP Javier Martinez.
451575.0,2009,2009-03-24,Released,Everett AquaSox released RHP Aaron Brown.
448842.0,2009,2009-03-24,Status Change,RHP Frankie De La Cruz roster status changed by Florida Marlins.
519047.0,2009,2009-03-25,Released,Great Falls Voyagers released LHP Ronald Morales.
458075.0,2009,2009-03-25,Released,Great Falls Voyagers released LHP Kevin Skogley.
467138.0,2009,2009-03-25,Released,Staten Island Yankees released 1B Jahdiel Santamaria.
543462.0,2009,2009-03-25,Released,Hudson Valley Renegades released RHP Matthew Long.
518610.0,2009,2009-03-25,Released,Hudson Valley Renegades released RHP Robert Della Grotta.
445971.0,2009,2009-03-25,Signed as Free Agent,New Orleans Zephyrs signed free agent RHP Tim Wood.
488868.0,2009,2009-03-26,Released,Corpus Christi Hooks released RHP Tip Fairchild.
452753.0,2009,2009-03-26,Released,Salem Red Sox released RHP Corey Bass.
446347.0,2009,2009-03-26,Released,AZL Giants released Jonathan White.
450303.0,2009,2009-03-26,Status Change,C Curtis Thigpen roster status changed by Toronto Blue Jays.
453369.0,2009,2009-03-26,Released,Mahoning Valley Scrappers released RHP P.J. Zocchi.
519137.0,2009,2009-03-26,Released,Batavia Muckdogs released RHP Zachary Pitts.
488731.0,2009,2009-03-27,Released,Augusta GreenJackets released LHP Damon Brewer.
446532.0,2009,2009-03-27,Retired,Cory Patton retired.
433585.0,2009,2009-03-27,Status Change,Colorado Rockies placed LHP Jeff Francis on the 60-day disabled list.
445033.0,2009,2009-03-27,Status Change,Wilmington Blue Rocks placed C Joe Billick on the 7-day disabled list.
