mlbam_id,season,date,type_desc,description
668852.0,2018,2018-03-01,Assigned,OF Jordan Anderson assigned to Mississippi State Bulldogs.
663687.0,2018,2018-03-01,Assigned,LHP Hogan Harris assigned to Louisiana-Lafayette Ragin' Cajuns.
667525.0,2018,2018-03-01,Assigned,OF Jamarius Williams assigned to Louisiana-Lafayette Ragin' Cajuns.
679808.0,2018,2018-03-01,Assigned,2B Luke Coker assigned to Louisiana-Lafayette Ragin' Cajuns.
665750.0,2018,2018-03-01,Assigned,LF Leody Taveras assigned to Texas Rangers.
667514.0,2018,2018-03-01,Assigned,LHP Gunner Leger assigned to Louisiana-Lafayette Ragin' Cajuns.
571825.0,2018,2018-03-01,Assigned,LHP James Jones assigned to Texas Rangers.
665918.0,2018,2018-03-01,Assigned,CF Miguel Aparicio assigned to Texas Rangers.
670236.0,2018,2018-03-01,Assigned,C Dustin Skelton assigned to Mississippi State Bulldogs.
663968.0,2018,2018-03-01,Assigned,OF Jake Mangum assigned to Mississippi State Bulldogs.
676059.0,2018,2018-03-01,Assigned,SS Jordan Westburg assigned to Mississippi State Bulldogs.
669261.0,2018,2018-03-01,Assigned,CF Jack Suwinski assigned to San Diego Padres.
679814.0,2018,2018-03-01,Assigned,C Nick Hanks assigned to Louisiana-Lafayette Ragin' Cajuns.
679818.0,2018,2018-03-01,Assigned,3B Christian Cusimano assigned to Louisiana-Lafayette Ragin' Cajuns.
667512.0,2018,2018-03-01,Assigned,LF Kennon Fontenot assigned to Louisiana-Lafayette Ragin' Cajuns.
669698.0,2018,2018-03-01,Assigned,RHP Riley Self assigned to Mississippi State Bulldogs.
679803.0,2018,2018-03-01,Assigned,RHP Caleb Armstrong assigned to Louisiana-Lafayette Ragin' Cajuns.
679791.0,2018,2018-03-01,Assigned,OF Connor Dupuy assigned to Louisiana-Lafayette Ragin' Cajuns.
435358.0,2018,2018-03-01,Trade,Algodoneros Union Laguna traded 2B Alberto Callaspo to Leones de Yucatan for 3B Yuniesky Betancourt.
657193.0,2018,2018-03-01,Assigned,SS Eddy Alvarez assigned to Chicago White Sox.
663873.0,2018,2018-03-01,Released,GCL Pirates released RHP Nathan Trevillian.
667535.0,2018,2018-03-01,Assigned,RHP Jack Burk assigned to Louisiana-Lafayette Ragin' Cajuns.
679812.0,2018,2018-03-01,Assigned,OF Jansen Fontenot assigned to Louisiana-Lafayette Ragin' Cajuns.
669916.0,2018,2018-03-01,Assigned,C Nate Nolan assigned to Chicago White Sox.
679820.0,2018,2018-03-01,Assigned,LHP Zach Neff assigned to Mississippi State Bulldogs.
669182.0,2018,2018-03-01,Assigned,OF Tre Carter assigned to San Diego Padres.
622794.0,2018,2018-03-01,Assigned,C Carlos Garay assigned to Texas Rangers.
657766.0,2018,2018-03-01,Assigned,LHP Locke St. John assigned to Texas Rangers.
667533.0,2018,2018-03-01,Assigned,RHP Jacob Norman assigned to Louisiana-Lafayette Ragin' Cajuns.
679806.0,2018,2018-03-01,Assigned,LHP Logan Savoy assigned to Louisiana-Lafayette Ragin' Cajuns.
675975.0,2018,2018-03-01,Assigned,3B Jonathan Windham assigned to Louisiana-Lafayette Ragin' Cajuns.
681599.0,2018,2018-03-01,Signed as Free Agent,Los Angeles Dodgers signed free agent C Jesus Dominguez to a minor league contract.
679796.0,2018,2018-03-01,Assigned,C Kole McKinnon assigned to Louisiana-Lafayette Ragin' Cajuns.
459431.0,2018,2018-03-01,Assigned,Kansas City Royals invited non-roster RF Michael Saunders to spring training.
677049.0,2018,2018-03-01,Assigned,1B Josh Hatcher assigned to Mississippi State Bulldogs.
448167.0,2018,2018-03-01,Assigned,LHP Brandon Mann assigned to Texas Rangers.
679819.0,2018,2018-03-01,Assigned,RHP Emile Lege assigned to Louisiana-Lafayette Ragin' Cajuns.
679817.0,2018,2018-03-01,Assigned,RHP Michael Leaumont assigned to Louisiana-Lafayette Ragin' Cajuns.
679811.0,2018,2018-03-01,Assigned,C Brady Jones assigned to Louisiana-Lafayette Ragin' Cajuns.
667524.0,2018,2018-03-01,Assigned,RHP Logan Stoelke assigned to Louisiana-Lafayette Ragin' Cajuns.
679858.0,2018,2018-03-01,Signed as Free Agent,Colorado Rockies signed free agent RHP Gustavo Frontado to a minor league contract.
430948.0,2018,2018-03-01,Trade,Algodoneros Union Laguna traded 2B Alberto Callaspo to Leones de Yucatan for 3B Yuniesky Betancourt.
575028.0,2018,2018-03-01,Loan,LF Eliseo Aldazaba loaned to Generales de Durango from Diablos Rojos del Mexico.
679823.0,2018,2018-03-01,Assigned,RHP Jared Liebelt assigned to Mississippi State Bulldogs.
656766.0,2018,2018-03-01,Assigned,3B Josh Morgan assigned to Texas Rangers.
621455.0,2018,2018-03-01,Assigned,RHP Sean McLaughlin assigned to Atlanta Braves.
679821.0,2018,2018-03-01,Assigned,SS Rowdey Jordan assigned to Mississippi State Bulldogs.
667682.0,2018,2018-03-01,Assigned,OF Tanner Poole assigned to Mississippi State Bulldogs.
571638.0,2018,2018-03-01,Assigned,RHP James Dykstra assigned to Texas Rangers.
