mlbam_id,season,date,type_desc,description
608355.0,2016,2016-03-01,Status Change,AZL D-backs activated LHP Yuhei Nakaushiro.
667687.0,2016,2016-03-01,Signed as Free Agent,San Diego Padres signed free agent Janigson Villalobos.
496073.0,2016,2016-03-01,Assigned,LHP Daniel Rodriguez assigned to Bowie Baysox.
667640.0,2016,2016-03-01,Status Change,DSL White Sox activated RHP Yordi Rosario.
663993.0,2016,2016-03-01,Assigned,1B Nathaniel Lowe assigned to Mississippi State Bulldogs.
663679.0,2016,2016-03-01,Assigned,LHP Trysten Barlow assigned to Mississippi State Bulldogs.
667639.0,2016,2016-03-01,Assigned,RHP Wilman Madera assigned to DSL Cardinals.
667641.0,2016,2016-03-01,Assigned,SS Enmanuel Omana assigned to DSL Phillies.
664167.0,2016,2016-03-01,Assigned,SS Blake Trahan assigned to Cincinnati Reds.
527031.0,2016,2016-03-01,Assigned,3B Michael Almanzar assigned to Baltimore Orioles.
667753.0,2016,2016-03-01,Signed as Free Agent,Houston Astros signed free agent P Kilvio Peralta to a minor league contract.
667750.0,2016,2016-03-01,Signed as Free Agent,Houston Astros signed free agent P Juan Infante to a minor league contract.
667659.0,2016,2016-03-01,Assigned,C Keenan Pierandozzi-Howes assigned to UCLA Bruins.
667661.0,2016,2016-03-01,Assigned,C Daniel Rosica assigned to UCLA Bruins.
665060.0,2016,2016-03-01,Assigned,RHP Tucker Forbes assigned to UCLA Bruins.
656288.0,2016,2016-03-01,Assigned,RHP Griffin Canning assigned to UCLA Bruins.
667664.0,2016,2016-03-01,Assigned,IF Luke Reynolds assigned to Mississippi State Bulldogs.
667665.0,2016,2016-03-01,Assigned,OF Mike Smith assigned to Mississippi State Bulldogs.
663503.0,2016,2016-03-01,Assigned,C Elih Marrero assigned to Mississippi State Bulldogs.
667667.0,2016,2016-03-01,Assigned,IF Ryan Gridley assigned to Mississippi State Bulldogs.
663968.0,2016,2016-03-01,Assigned,LHP Jake Mangum assigned to Mississippi State Bulldogs.
667668.0,2016,2016-03-01,Assigned,C Josh Lovelady assigned to Mississippi State Bulldogs.
643612.0,2016,2016-03-01,Assigned,RHP Paul Young assigned to Mississippi State Bulldogs.
641712.0,2016,2016-03-01,Assigned,RHP Dakota Hudson assigned to Mississippi State Bulldogs.
667671.0,2016,2016-03-01,Assigned,OF Cody Brown assigned to Mississippi State Bulldogs.
663602.0,2016,2016-03-01,Assigned,RHP Ryan Cyr assigned to Mississippi State Bulldogs.
667672.0,2016,2016-03-01,Assigned,RHP Ryan Rigby assigned to Mississippi State Bulldogs.
667673.0,2016,2016-03-01,Assigned,LHP Vance Tatum assigned to Mississippi State Bulldogs.
663539.0,2016,2016-03-01,Assigned,RHP Parker Ford assigned to Mississippi State Bulldogs.
663644.0,2016,2016-03-01,Assigned,LHP Kale Breaux assigned to Mississippi State Bulldogs.
667674.0,2016,2016-03-01,Assigned,C Jack Kruger assigned to Mississippi State Bulldogs.
667748.0,2016,2016-03-01,Signed as Free Agent,Houston Astros signed free agent SS Samir Caraballo to a minor league contract.
656497.0,2016,2016-03-01,Assigned,RHP Nathan Hadley assigned to UCLA Bruins.
667660.0,2016,2016-03-01,Assigned,OF Brett Urabe assigned to UCLA Bruins.
663787.0,2016,2016-03-01,Assigned,1B Jake Pries assigned to UCLA Bruins.
663739.0,2016,2016-03-01,Assigned,RHP Kyle Molnar assigned to UCLA Bruins.
608378.0,2016,2016-03-01,Assigned,LHP Hunter Virant assigned to UCLA Bruins.
621486.0,2016,2016-03-01,Assigned,C Darrell Miller assigned to UCLA Bruins.
667686.0,2016,2016-03-01,Signed as Free Agent,San Diego Padres signed free agent P Angel Acevedo to a minor league contract.
449173.0,2016,2016-03-01,Signed as Free Agent,Detroit Tigers signed free agent RHP Lucas Harrell to a minor league contract.
667656.0,2016,2016-03-01,Assigned,IF Jake Hirabayashi assigned to UCLA Bruins.
650870.0,2016,2016-03-01,Released,DSL Giants released LHP Prebito Reyes.
661154.0,2016,2016-03-01,Released,DSL Giants released RHP Wilme Almanzar.
641972.0,2016,2016-03-01,Retired,RHP Nick Petree retired.
642533.0,2016,2016-03-01,Released,DSL Giants released RHP Reymi Rodriguez.
650868.0,2016,2016-03-01,Released,DSL Giants released RF Yendrys Gonzalez.
660763.0,2016,2016-03-01,Released,DSL Giants released RHP Jose Luna.
642004.0,2016,2016-03-01,Released,Greenville Drive released RHP Reed Reilly.
663732.0,2016,2016-03-01,Assigned,RHP Noah Hughes assigned to Mississippi State Bulldogs.
663455.0,2016,2016-03-01,Assigned,LHP Konnor Pilkington assigned to Mississippi State Bulldogs.
491696.0,2016,2016-03-01,Status Change,Seattle Mariners placed C Jesus Sucre on the 60-day disabled list.
628338.0,2016,2016-03-01,Signed as Free Agent,Seattle Mariners signed free agent Guillermo Heredia.
666860.0,2016,2016-03-01,Signed as Free Agent,Houston Astros signed free agent SS Eduardo Guzman to a minor league contract.
593674.0,2016,2016-03-01,Released,Kingsport Mets released RHP Yoryi Nuez.
622398.0,2016,2016-03-01,Released,DSL Giants released 2B Marco Guzman.
663919.0,2016,2016-03-01,Assigned,OF Jordan Myrow assigned to UCLA Bruins.
667646.0,2016,2016-03-01,Assigned,OF Christoph Bono assigned to UCLA Bruins.
667680.0,2016,2016-03-01,Assigned,RHP Myles Gentry assigned to Mississippi State Bulldogs.
642305.0,2016,2016-03-01,Released,DSL Giants released C Jose Morles.
657071.0,2016,2016-03-01,Assigned,SS Nick Valaika assigned to UCLA Bruins.
