mlbam_id,season,date,type_desc,description
150322,2010,2010-03-01,Signed as Free Agent,Chicago Cubs signed free agent C Mark Johnson to a minor league contract.
446404,2010,2010-03-01,Signed as Free Agent,Arizona Diamondbacks signed free agent C Josh Ford to a minor league contract.
523252,2010,2010-03-01,Signed,Baltimore Orioles signed RHP Ryan Berry.
451657,2010,2010-03-01,Signed as Free Agent,Milwaukee Brewers signed free agent LHP Chase Wright to a minor league contract.
501854,2010,2010-03-01,Signed as Free Agent,Washington Nationals signed free agent LHP Glenn Gibson to a minor league contract.
571729,2010,2010-03-01,Assigned,LHP Jerad Grundy assigned to University of Miami Hurricanes.
473240,2010,2010-03-01,Signed as Free Agent,Oakland Athletics signed free agent RHP Jose Pina to a minor league contract.
517062,2010,2010-03-01,Signed as Free Agent,San Diego Padres signed free agent LHP Juan Pablo Oramas to a minor league contract.
534595,2010,2010-03-01,Assigned,3B Jason Christian assigned to Oakland Athletics.
460648,2010,2010-03-01,Signed as Free Agent,Los Angeles Dodgers signed free agent RHP Harvey Garcia to a minor league contract.
506648,2010,2010-03-01,Signed as Free Agent,Minnesota Twins signed free agent RHP Yoslan Herrera to a minor league contract.
502272,2010,2010-03-01,Claimed Off Waivers,Boston Red Sox claimed Casey Fien off waivers from Detroit Tigers.
425865,2010,2010-03-01,Signed as Free Agent,Philadelphia Phillies signed free agent 1B Tagg Bozied to a minor league contract.
573040,2010,2010-03-01,Signed as Free Agent,Baltimore Orioles signed free agent 2B Michael Mooney to a minor league contract.
572102,2010,2010-03-01,Assigned,Keyvius Sampson assigned to AZL Padres from Eugene Emeralds.
558479,2010,2010-03-01,Assigned,P Greg Ferguson assigned to Northeastern Huskies.
594194,2010,2010-03-01,Signed as Free Agent,Washington Nationals signed free agent C Hector Taveras to a minor league contract.
461382,2010,2010-03-01,Signed as Free Agent,Philadelphia Phillies signed free agent LF Michael Spidale to a minor league contract.
459322,2010,2010-03-01,Signed as Free Agent,Philadelphia Phillies signed free agent 1B Brian Stavisky to a minor league contract.
518557,2010,2010-03-01,Assigned,OF Kelvin Clark assigned to Florida Southern College Mocs.
590851,2010,2010-03-01,Signed as Free Agent,Chicago White Sox signed free agent 3B Jake Oester to a minor league contract.
457826,2010,2010-03-01,Signed as Free Agent,Cleveland Indians signed free agent RHP Tom Mastny.
521689,2010,2010-03-01,Signed as Free Agent,Pittsburgh Pirates signed free agent OF Anthony Norman to a minor league contract.
571770,2010,2010-03-01,Signed,Baltimore Orioles signed RHP Randy Henry.
455100,2010,2010-03-01,Designated for Assignment,Boston Red Sox designated RHP Gaby Hernandez for assignment.
472590,2010,2010-03-01,Signed as Free Agent,Houston Astros signed free agent 3B Rayner Contreras to a minor league contract.
458221,2010,2010-03-01,Signed as Free Agent,Houston Astros signed free agent OF Freddy Parejo to a minor league contract.
449775,2010,2010-03-01,Signed as Free Agent,Philadelphia Phillies signed free agent 3B Brandon Pinckney to a minor league contract.
502769,2010,2010-03-01,Signed,New York Mets signed 2B Rylan Sandoval.
571734,2010,2010-03-01,Assigned,Jason Hagerty assigned to Fort Wayne TinCaps from Portland Beavers.
468936,2010,2010-03-01,Signed as Free Agent,Philadelphia Phillies signed free agent 3B Melvin Dorta to a minor league contract.
150219,2010,2010-03-01,Signed as Free Agent,San Francisco Giants signed free agent RHP Matt Kinney to a minor league contract.
519271,2010,2010-03-02,Released,Potomac Nationals released LF Aaron Seuss.
430913,2010,2010-03-02,Signed as Free Agent,Rochester Red Wings signed free agent RHP Brad Hennessey.
572910,2010,2010-03-02,Assigned,RF Alex Hassan assigned to Boston Red Sox.
452725,2010,2010-03-02,Signed as Free Agent,West Tenn Diamond Jaxx signed free agent RHP Wes Littleton.
643440,2010,2010-03-02,Assigned,C Stephen McGee assigned to Florida State University Seminoles.
489313,2010,2010-03-03,Assigned,RF Matt Sheely assigned to Boston Red Sox.
573676,2010,2010-03-03,Released,GCL Braves released C Mike Payne.
549075,2010,2010-03-03,Assigned,DH Ino Guerrero assigned to Boston Red Sox.
502139,2010,2010-03-03,Assigned,RHP Josh Stinson assigned to New York Mets.
461377,2010,2010-03-03,Assigned,LHP Neal Musser assigned to New York Mets.
502135,2010,2010-03-03,Assigned,LF Jason Place assigned to Boston Red Sox.
543432,2010,2010-03-03,Assigned,C Ryan Lavarnway assigned to Boston Red Sox.
542894,2010,2010-03-03,Released,GCL Pirates released LHP Christopher Aure.
572910,2010,2010-03-03,Assigned,Alex Hassan assigned to Boston Red Sox.
537953,2010,2010-03-03,Assigned,RF Daniel Nava assigned to Boston Red Sox.
455100,2010,2010-03-03,Claimed Off Waivers,Kansas City Royals claimed Gaby Hernandez off waivers from Boston Red Sox.
452772,2010,2010-03-03,Assigned,LHP Andrew Dobies assigned to Boston Red Sox.
582495,2010,2010-03-03,Assigned,RHP David Trexler assigned to Florida State University Seminoles.
582493,2010,2010-03-03,Assigned,CF Kevin Jackson assigned to Florida State University Seminoles.
520988,2010,2010-03-03,Assigned,SS Oscar Tejeda assigned to Boston Red Sox.
451572,2010,2010-03-03,Status Change,Henry Barrera roster status changed by Kansas City Royals.
459415,2010,2010-03-03,Assigned,LHP Tommy Hottovy assigned to Boston Red Sox.
459420,2010,2010-03-03,Assigned,RHP Kenn Kasparek assigned to Seattle Mariners.
488694,2010,2010-03-03,Assigned,RF Bubba Bell assigned to Boston Red Sox.
460621,2010,2010-03-03,Signed as Free Agent,Boston Red Sox signed free agent 2B Nate Spears to a minor league contract.
457786,2010,2010-03-03,Assigned,LHP Anthony Vasquez assigned to Seattle Mariners.
582473,2010,2010-03-03,Assigned,3B Sherman Johnson assigned to Florida State University Seminoles.
501929,2010,2010-03-03,Assigned,3B Ryan Khoury assigned to Boston Red Sox.
582474,2010,2010-03-03,Assigned,C Rafael Lopez assigned to Florida State University Seminoles.
543747,2010,2010-03-03,Assigned,RHP Hunter Scantling assigned to Florida State University Seminoles.
582494,2010,2010-03-03,Assigned,LHP Robby Scott assigned to Florida State University Seminoles.
543148,2010,2010-03-03,Assigned,C Tim Federowicz assigned to Boston Red Sox.
503427,2010,2010-03-04,Assigned,RHP Josh Wilkie assigned to Washington Nationals.
524308,2010,2010-03-04,Assigned,2B Francisco Soriano assigned to Washington Nationals.
488817,2010,2010-03-04,Assigned,RF Mike Daniel assigned to Washington Nationals.
519306,2010,2010-03-04,Assigned,3B Steven Souza assigned to Washington Nationals.
502029,2010,2010-03-04,Assigned,1B Chris Marrero assigned to Washington Nationals.
543459,2010,2010-03-04,Assigned,2B Steve Lombardozzi assigned to Washington Nationals.
543904,2010,2010-03-04,Assigned,SS Beamer Weems assigned to San Diego Padres.
519433,2010,2010-03-04,Assigned,1B Steffan Wilson assigned to Milwaukee Brewers.
554237,2010,2010-03-04,Released,DSL Braves released LHP Cristo Silva.
446341,2010,2010-03-04,Status Change,Scott Richmond roster status changed by Toronto Blue Jays.
425606,2010,2010-03-04,Signed as Free Agent,New York Mets signed free agent RHP Kiko Calero to a minor league contract and invited him to spring training.
570503,2010,2010-03-04,Status Change,RHP Ramon Hurtado roster status changed by DSL Rockies.
425606,2010,2010-03-04,Signed as Free Agent,Buffalo Bisons signed free agent RHP Kiko Calero.
502272,2010,2010-03-04,Claimed Off Waivers,Toronto Blue Jays claimed Casey Fien off waivers from Boston Red Sox.
458687,2010,2010-03-04,Released,AZL Brewers released RHP Ryan DeLaughter.
570509,2010,2010-03-04,Released,DSL Rockies released RHP Waler Sanchez.
518518,2010,2010-03-04,Assigned,RF Michael Burgess assigned to Washington Nationals.
489138,2010,2010-03-04,Assigned,1B Tyler Moore assigned to Washington Nationals.
448769,2010,2010-03-04,Assigned,2B Seth Bynum assigned to Washington Nationals.
519365,2010,2010-03-04,Released,Everett AquaSox released 1B Blake Trinkler.
457787,2010,2010-03-04,Assigned,SS Danny Espinosa assigned to Washington Nationals.
452087,2010,2010-03-04,Assigned,LF Leonard Davis assigned to Washington Nationals.
508892,2010,2010-03-04,Assigned,SS Carlos Triunfel assigned to Seattle Mariners.
425477,2010,2010-03-04,Assigned,Los Angeles Angels invited non-roster 1B Robb Quinlan to spring training.
476190,2010,2010-03-04,Assigned,RHP Blake Maxwell assigned to Boston Red Sox.
406301,2010,2010-03-04,Assigned,RHP Chad Paronto assigned to Boston Red Sox.
276542,2010,2010-03-04,Signed as Free Agent,Tampa Bay Rays signed free agent RHP Joaquin Benoit to a minor league contract and invited him to spring training.
500207,2010,2010-03-04,Assigned,C Jhonatan Solano assigned to Washington Nationals.
407891,2010,2010-03-04,Assigned,LF Kevin Mench assigned to Washington Nationals.
541640,2010,2010-03-04,Assigned,RHP Erasmo Ramirez assigned to Seattle Mariners.
571706,2010,2010-03-04,Assigned,LHP James Gillheeney assigned to Seattle Mariners.
572122,2010,2010-03-04,Assigned,3B Kyle Seager assigned to Seattle Mariners.
501381,2010,2010-03-05,Assigned,RHP Michael Pineda assigned to Seattle Mariners.
572365,2010,2010-03-05,Assigned,SS Ryan Goins assigned to Toronto Blue Jays.
542877,2010,2010-03-05,Assigned,3B Brett Anderson assigned to Detroit Tigers.
519445,2010,2010-03-05,Assigned,2B Danny Worth assigned to Detroit Tigers.
571544,2010,2010-03-05,Assigned,RHP Andrew Carraway assigned to Seattle Mariners.
489242,2010,2010-03-05,Assigned,2B Will Rhymes assigned to Detroit Tigers.
457746,2010,2010-03-05,Assigned,CF Ben Guez assigned to Detroit Tigers.
489337,2010,2010-03-05,Assigned,CF T.J. Steele assigned to Houston Astros.
460657,2010,2010-03-05,Assigned,Doug Slaten assigned to Washington Nationals.
455095,2010,2010-03-05,Assigned,OF Jeff Frazier assigned to Detroit Tigers.
448589,2010,2010-03-05,Assigned,SS Chris McConnell assigned to Kansas City Royals.
446367,2010,2010-03-05,Assigned,RHP Luke Putkonen assigned to Detroit Tigers.
446392,2010,2010-03-05,Assigned,1B Rawley Bishop assigned to Detroit Tigers.
