person_id,era
668678,4.83
678024,2.5
686613,2.43
669467,5.31
500779,3.96
682052,4.08
675911,4.45
477132,3.36
657746,3.42
694738,3.8
676440,4.24
656731,3.95
607074,3.09
669923,4.21
547179,4.64
656876,2.76
686701,3.66
594798,2.97
690928,4.13
801403,6.52
663554,3.87
808963,4.46
808967,2.49
663559,4.45
688138,4.32
622608,6.65
669713,4.5
663568,3.51
657424,3.19
694297,5.25
669721,5.4
665625,6.75
688158,2.66
593958,5.02
806960,3.14
593974,3.14
677944,4.3
661563,3.32
677952,2.71
677958,5.74
663623,5.7
622663,4.54
677960,3.99
608331,2.86
608337,3.41
694363,8.04
657514,3.14
667755,4.26
608372,4.64
571510,3.21
608379,3.86
641154,2.74
678022,4.19
673929,3.92
686218,2.82
645261,5.36
669854,4.1
542881,4.56
647336,4.52
542888,2.31
657585,3.9
571578,4.4
663738,3.06
694462,2.88
665795,3.53
434378,3.85
694477,3.53
702674,6.4
669920,4.77
676083,4.17
663795,4.56
682243,5.68
805123,1.69
676106,4.9
665871,3.65
641302,4.98
502043,16.78
684320,3.08
813349,2.33
663855,6.95
643377,4.23
608566,6.7
596295,7.49
543056,2.3
518489,4.5
663903,4.03
571760,5.52
801139,6.06
694646,15.58
543101,5.12
592254,4.05
663941,4.61
608650,4.08
663947,3.66
670102,6.05
543135,1.73
663969,2.78
676263,2.95
663978,5.35
676272,12.6
676282,3.21
641482,6.29
592332,3.59
608718,4.52
678368,4.65
686563,5.82
678394,3.35
664062,5.0
543243,4.28
571927,3.05
666142,4.67
694819,4.36
571945,4.84
666157,3.33
686642,4.24
621107,5.93
621111,4.93
621112,6.23
666171,4.74
543294,4.76
623167,3.09
621121,6.51
674370,5.87
506433,5.38
676428,2.43
664141,3.77
666200,3.92
666214,5.6
623211,3.57
676467,5.34
641656,4.28
670329,3.15
680573,4.04
694918,9.0
641672,5.82
686730,6.08
676508,4.64
686752,3.86
453286,5.19
621244,4.17
694973,1.97
686790,1.8
527048,3.54
672456,4.37
686799,6.81
641745,2.07
518876,3.52
664285,3.66
690916,5.0
664299,4.62
680684,6.4
641778,3.18
606965,2.16
680694,2.53
641793,3.81
690953,6.23
606996,5.86
592662,3.65
641816,2.18
680730,5.68
680732,4.22
680735,8.86
680736,4.32
680742,3.86
805673,5.56
690986,4.04
690990,2.67
660271,2.87
680755,2.7
690997,2.06
676664,5.04
672582,4.18
623437,3.9
686930,6.85
607067,3.95
656222,3.77
682847,4.36
471911,7.09
656240,5.48
689017,4.89
686973,2.97
641927,5.1
656271,3.36
592791,3.68
656288,3.77
656302,4.55
680880,5.09
680885,3.09
592836,4.08
605130,4.21
605135,3.96
594902,3.22
607192,3.19
687064,6.24
607200,5.49
592866,6.21
687075,4.79
519141,2.17
625643,5.4
682989,7.41
682990,3.32
680951,13.5
678906,6.37
683004,3.86
672782,5.17
676879,2.16
674841,2.31
607259,4.45
687134,9.36
656427,4.64
701487,5.1
685107,4.68
676917,4.25
693313,4.75
685126,4.39
656457,3.88
519242,2.58
689225,6.55
701519,7.49
605280,3.53
676961,6.02
676962,5.92
701542,4.44
605288,3.31
642152,3.97
676974,4.73
676979,2.59
687223,8.91
695418,4.34
674944,5.23
701581,5.4
683155,9.82
656550,3.99
642216,8.68
656557,8.04
642232,4.36
693433,2.94
642239,2.45
670912,3.57
681151,1.54
668881,2.76
695505,4.57
605400,6.01
701656,1.78
656605,4.19
607455,3.18
681190,3.84
668909,3.06
695534,19.5
685299,6.33
607481,3.81
660730,9.15
695549,4.22
656641,2.84
687362,8.65
570632,4.58
605452,5.12
685326,7.36
615698,6.04
660761,1.86
668964,3.55
806185,4.8
605483,2.35
806188,2.63
605488,4.11
607536,4.98
800049,4.8
800048,2.72
668984,5.62
605513,7.11
681293,5.35
669020,7.02
669022,4.17
605540,3.2
687473,5.67
671096,2.87
681343,3.81
671106,4.25
681347,3.94
669060,6.65
691587,4.25
650633,3.44
607625,4.15
693645,2.96
595345,3.01
650644,4.85
544150,2.31
656794,2.73
669084,3.49
554430,2.71
640455,5.64
656849,4.22
669145,7.5
669160,4.96
671212,4.67
642547,2.7
687606,4.38
624133,3.2
669194,3.39
593423,6.28
669199,3.93
669203,2.66
669211,3.41
681517,3.07
800311,13.85
693821,5.3
665152,4.19
691799,4.91
693855,3.63
702056,3.21
683627,7.27
657006,4.76
601713,2.87
802419,15.58
669302,3.44
702070,2.99
669308,5.33
669330,2.91
687765,5.1
450203,5.83
650911,2.5
489119,6.75
669358,4.87
448179,5.0
675512,2.76
669372,5.08
669373,2.21
669387,3.55
687830,7.18
669422,6.37
691951,7.9
669432,1.81
579328,3.99
573186,6.23
673540,3.02
687888,3.35
669456,3.57
677651,3.52
669461,4.21
804636,7.71
622379,7.71
687922,6.66
687931,5.01
663362,7.71
663372,4.75
700241,4.42
696149,4.02
829272,6.98
700249,5.21
663399,3.45
657277,3.22
681857,3.15
681867,3.57
663436,4.1
622491,3.54
663460,2.55
622503,3.71
663465,2.63
669620,2.31
663485,4.5
700363,3.86
657376,3.32
684007,3.73
815083,6.66
688107,3.18
671737,5.05
663546,7.8
