,coefficient
strength_diff,0.22508615106461738
away_strength,-0.1686968020529651
home_strength,0.16432315982894824
home_last10,-0.02923382626861347
last10_diff,-0.02755066051871661
away_last10,0.014210936002844229
rest_diff,0.009623961350104543
home_rest,0.008014357695729748
pit_diff,-0.00647054169894444
away_pit,0.006088351163529177
home_pit,-0.003295467198033095
away_rest,0.0023474665025929957
away_bat,0.0014894628253070438
def_diff,0.0011739026356359674
home_def,0.0009072832955252486
away_def,-0.0007720201832087828
home_bat,0.0006274536590730251
bat_diff,-0.0005997749065105398
