playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
abbotpa01,2000,ALCS,SEA,AL,0,1,1,1,0,0,0,15,3,3,1,3,3,0.167,5.4,0.0,0.0,0.0,0.0,21.0,0.0,3,0.0,0.0,0.0
choatra01,2000,ALCS,NYA,AL,0,0,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0
clemero02,2000,ALCS,NYA,AL,1,0,1,1,1,1,0,27,1,0,0,2,15,0.036,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0,0.0,0.0,0.0
coneda01,2000,ALCS,NYA,AL,0,0,1,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0,0.0,0.0,0.0
garcifr02,2000,ALCS,SEA,AL,2,0,2,2,0,0,0,35,10,2,0,4,11,0.227,1.54,0.0,0.0,2.0,0.0,50.0,0.0,2,0.0,0.0,1.0
goodedw01,2000,ALCS,NYA,AL,0,0,1,0,0,0,0,7,1,0,0,0,1,0.125,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0.0,0.0,0.0
grimsja01,2000,ALCS,NYA,AL,0,0,2,0,0,0,0,3,2,0,0,3,1,0.4,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0,0.0,0.0,0.0
halamjo01,2000,ALCS,SEA,AL,0,0,2,2,0,0,0,28,10,3,0,5,3,0.278,2.89,0.0,0.0,0.0,0.0,41.0,0.0,3,0.0,0.0,2.0
hernaor01,2000,ALCS,NYA,AL,2,0,2,2,0,0,0,45,13,7,2,8,14,0.241,4.2,2.0,0.0,0.0,0.0,62.0,0.0,7,0.0,0.0,1.0
mesajo01,2000,ALCS,SEA,AL,0,0,3,0,0,0,0,13,5,6,2,3,3,0.312,12.46,0.0,0.0,0.0,0.0,20.0,2.0,6,0.0,1.0,0.0
neaglde01,2000,ALCS,NYA,AL,0,2,2,2,0,0,0,30,6,5,1,7,7,0.176,4.5,0.0,0.0,0.0,0.0,43.0,0.0,5,1.0,1.0,0.0
nelsoje01,2000,ALCS,NYA,AL,0,0,3,0,0,0,0,9,5,3,2,0,6,0.357,9.0,0.0,0.0,0.0,0.0,14.0,0.0,3,0.0,0.0,0.0
paniajo01,2000,ALCS,SEA,AL,0,1,5,0,0,0,0,13,4,2,0,1,4,0.25,4.15,0.0,0.0,0.0,0.0,18.0,1.0,2,1.0,0.0,0.0
pettian01,2000,ALCS,NYA,AL,1,0,1,1,0,0,0,20,9,2,0,1,2,0.346,2.7,0.0,0.0,0.0,0.0,28.0,0.0,2,1.0,0.0,1.0
ramsaro01,2000,ALCS,SEA,AL,0,0,2,0,0,0,0,5,2,0,0,0,1,0.333,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0,0.0,1.0,0.0
rhodear01,2000,ALCS,SEA,AL,0,1,4,0,0,0,0,6,8,7,1,4,5,0.615,31.5,1.0,0.0,0.0,0.0,18.0,0.0,7,0.0,1.0,0.0
riverma01,2000,ALCS,NYA,AL,0,0,3,0,0,0,1,14,4,1,0,0,1,0.222,1.93,0.0,0.0,0.0,0.0,18.0,3.0,1,0.0,0.0,0.0
sasakka01,2000,ALCS,SEA,AL,0,0,2,0,0,0,1,8,3,0,0,1,3,0.273,0.0,0.0,1.0,1.0,0.0,13.0,2.0,0,0.0,0.0,0.0
seleaa01,2000,ALCS,SEA,AL,0,1,1,1,0,0,0,18,9,4,2,0,4,0.333,6.0,0.0,0.0,0.0,0.0,27.0,0.0,4,0.0,0.0,1.0
tomkobr01,2000,ALCS,SEA,AL,0,0,2,0,0,0,0,15,3,4,0,4,4,0.176,7.2,1.0,1.0,0.0,0.0,21.0,0.0,4,0.0,0.0,0.0
appieke01,2000,ALDS1,OAK,AL,0,1,2,1,0,0,0,31,10,4,1,6,13,0.25,3.48,1.0,0.0,0.0,0.0,46.0,0.0,4,0.0,0.0,0.0
choatra01,2000,ALDS1,NYA,AL,0,0,1,0,0,0,0,4,0,1,0,1,1,0.0,6.75,0.0,0.0,0.0,0.0,5.0,0.0,1,0.0,0.0,0.0
clemero02,2000,ALDS1,NYA,AL,0,2,2,2,0,0,0,33,13,10,1,8,10,0.302,8.18,1.0,1.0,0.0,0.0,52.0,0.0,10,1.0,0.0,1.0
goodedw01,2000,ALDS1,NYA,AL,0,0,1,0,0,0,0,5,4,4,0,1,1,0.5,21.6,0.0,0.0,2.0,0.0,11.0,1.0,4,0.0,0.0,1.0
heredgi01,2000,ALDS1,OAK,AL,1,1,2,2,0,0,0,19,11,9,0,3,3,0.407,12.79,0.0,0.0,1.0,0.0,33.0,0.0,9,0.0,2.0,1.0
hernaor01,2000,ALDS1,NYA,AL,1,0,2,1,0,0,0,22,5,2,1,5,5,0.2,2.45,0.0,0.0,0.0,0.0,30.0,0.0,2,0.0,0.0,2.0
hudsoti01,2000,ALDS1,OAK,AL,0,1,1,1,1,0,0,24,6,3,0,4,5,0.194,3.38,0.0,0.0,0.0,0.0,35.0,0.0,4,0.0,0.0,0.0
isrinja01,2000,ALDS1,OAK,AL,0,0,2,0,0,0,1,6,1,0,0,0,3,0.143,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0,0.0,0.0,0.0
jonesdo01,2000,ALDS1,OAK,AL,0,0,2,0,0,0,0,4,1,0,0,0,1,0.2,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0,0.0,0.0,0.0
magnami01,2000,ALDS1,OAK,AL,0,0,2,0,0,0,0,9,1,0,0,0,2,0.111,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0,0.0,0.0,1.0
mecirji01,2000,ALDS1,OAK,AL,0,0,3,0,0,0,0,16,1,0,0,0,2,0.059,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0,0.0,0.0,0.0
nelsoje01,2000,ALDS1,NYA,AL,0,0,2,0,0,0,0,6,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0,0.0,0.0,0.0
pettian01,2000,ALDS1,NYA,AL,1,0,2,2,0,0,0,34,15,5,0,3,7,0.326,3.97,0.0,0.0,0.0,0.0,51.0,0.0,5,0.0,2.0,2.0
riverma01,2000,ALDS1,NYA,AL,0,0,3,0,0,0,3,15,2,0,0,0,2,0.111,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0,0.0,0.0,0.0
stantmi02,2000,ALDS1,NYA,AL,1,0,3,0,0,0,0,13,5,1,0,1,3,0.294,2.08,0.0,1.0,0.0,0.0,18.0,0.0,1,0.0,0.0,0.0
tamje01,2000,ALDS1,OAK,AL,0,0,3,0,0,0,0,6,3,0,0,1,1,0.333,0.0,1.0,0.0,0.0,0.0,12.0,0.0,1,1.0,1.0,0.0
zitoba01,2000,ALDS1,OAK,AL,1,0,1,1,0,0,0,17,7,1,0,2,5,0.304,1.59,0.0,0.0,0.0,0.0,25.0,0.0,1,0.0,0.0,1.0
abbotpa01,2000,ALDS2,SEA,AL,1,0,1,1,0,0,0,17,5,1,0,3,1,0.25,1.59,0.0,0.0,1.0,0.0,25.0,0.0,2,0.0,1.0,1.0
baldwja01,2000,ALDS2,CHA,AL,0,0,1,1,0,0,0,18,3,1,0,3,2,0.15,1.5,0.0,0.0,0.0,0.0,24.0,0.0,1,1.0,0.0,0.0
barcelo01,2000,ALDS2,CHA,AL,0,0,1,0,0,0,0,5,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0.0,0.0,0.0
bradfch01,2000,ALDS2,CHA,AL,0,0,1,0,0,0,0,2,2,0,0,0,0,0.667,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0
buehrma01,2000,ALDS2,CHA,AL,0,0,1,0,0,0,0,1,2,0,0,0,1,0.667,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0,0.0,0.0,0.0
foulkke01,2000,ALDS2,CHA,AL,0,1,2,0,0,0,0,7,4,3,2,2,2,0.4,11.57,0.0,0.0,0.0,0.0,13.0,2.0,3,1.0,0.0,0.0
garcifr02,2000,ALDS2,SEA,AL,0,0,1,1,0,0,0,10,6,4,1,3,2,0.375,10.8,0.0,1.0,0.0,0.0,19.0,0.0,4,0.0,0.0,0.0
howrybo01,2000,ALDS2,CHA,AL,0,0,2,0,0,0,0,8,2,1,0,2,4,0.222,3.38,0.0,0.0,0.0,0.0,12.0,0.0,1,1.0,0.0,0.0
mesajo01,2000,ALDS2,SEA,AL,1,0,2,0,0,0,0,6,0,0,0,1,2,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0,0.0,0.0,0.0
paniajo01,2000,ALDS2,SEA,AL,1,0,2,0,0,0,0,7,1,0,0,2,3,0.125,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0,0.0,0.0,0.0
parquji01,2000,ALDS2,CHA,AL,0,0,1,1,0,0,0,18,6,3,1,1,2,0.286,4.5,0.0,0.0,1.0,0.0,23.0,0.0,3,0.0,0.0,2.0
rhodear01,2000,ALDS2,SEA,AL,0,0,3,0,0,0,0,8,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0,1.0,0.0,1.0
sasakka01,2000,ALDS2,SEA,AL,0,0,2,0,0,0,2,6,1,0,0,0,5,0.143,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0,0.0,0.0,0.0
seleaa01,2000,ALDS2,SEA,AL,0,0,1,1,0,0,0,22,3,1,0,3,1,0.143,1.23,0.0,0.0,0.0,0.0,26.0,0.0,1,1.0,1.0,2.0
simasbi01,2000,ALDS2,CHA,AL,0,0,2,0,0,0,0,3,0,1,0,1,2,0.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,1,0.0,0.0,0.0
sirotmi01,2000,ALDS2,CHA,AL,0,1,1,1,0,0,0,17,7,3,1,2,0,0.35,4.76,0.0,0.0,1.0,0.0,25.0,0.0,4,1.0,1.0,3.0
tomkobr01,2000,ALDS2,SEA,AL,0,0,1,0,0,0,0,8,1,0,0,1,0,0.125,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0,0.0,0.0,1.0
wunscke01,2000,ALDS2,CHA,AL,0,1,3,0,0,0,0,3,2,0,0,0,0,0.4,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1,0.0,0.0,0.0
ankieri01,2000,NLCS,SLN,NL,0,0,2,1,0,0,0,4,1,3,0,5,2,0.333,20.25,0.0,4.0,0.0,0.0,10.0,0.0,3,1.0,1.0,0.0
