playerID,awardID,yearID,lgID,tie,notes
bakerdu01,BBWAA Manager of the Year,2000,NL,,
bakerdu01,This Year in Baseball Manager of the Year,2003,ML,,MLB.com GIBBY
bakerdu01,TSN Manager of the Year,2000,NL,,
baldero01,BBWAA Manager of the Year,2019,AL,,
banisje01,BBWAA Manager of the Year,2015,AL,,
blackbu01,TSN Manager of the Year,2010,NL,,
blackbu02,BBWAA Manager of the Year,2010,NL,,
bochybr01,This Year in Baseball Manager of the Year,2010,ML,,MLB.com GIBBY
bochybr01,This Year in Baseball Manager of the Year,2014,ML,,MLB.com GIBBY
bowala01,BBWAA Manager of the Year,2001,NL,,
bowala01,TSN Manager of the Year,2001,NL,,
cashke01,BBWAA Manager of the Year,2020,AL,,
cashke01,BBWAA Manager of the Year,2021,AL,,
cashke01,TSN Manager of the Year,2019,AL,,
cashke01,TSN Manager of the Year,2020,AL,,
cashke01,TSN Manager of the Year,2021,AL,,
collite99,TSN Manager of the Year,2015,NL,,
counscr01,TSN Manager of the Year,2017,NL,,
counscr01,TSN Manager of the Year,2018,NL,Y,
counscr01,TSN Manager of the Year,2023,NL,Y,
coxbo01,BBWAA Manager of the Year,2004,NL,,
coxbo01,BBWAA Manager of the Year,2005,NL,,
coxbo01,TSN Manager of the Year,2002,NL,,
coxbo01,TSN Manager of the Year,2003,NL,,
coxbo01,TSN Manager of the Year,2004,NL,,
coxbo01,TSN Manager of the Year,2005,NL,,
farrejo03,This Year in Baseball Manager of the Year,2013,ML,,MLB.com GIBBY
farrejo03,TSN Manager of the Year,2013,AL,,
francte01,BBWAA Manager of the Year,2013,AL,,
francte01,BBWAA Manager of the Year,2016,AL,,
francte01,BBWAA Manager of the Year,2022,AL,,
francte01,This Year in Baseball Manager of the Year,2004,ML,,MLB.com GIBBY
francte01,TSN Manager of the Year,2016,AL,,
francte01,TSN Manager of the Year,2017,AL,,
gardero01,BBWAA Manager of the Year,2010,AL,,
gardero01,TSN Manager of the Year,2004,AL,Y,
gardero01,TSN Manager of the Year,2010,AL,,
gibsoki01,BBWAA Manager of the Year,2011,NL,,
gibsoki01,This Year in Baseball Manager of the Year,2011,ML,,MLB.com GIBBY
gibsoki01,TSN Manager of the Year,2011,NL,,
