playerID,awardID,yearID,lgID,tie,notes
abramcj01,Player of the Week,2023,NL,,Week of 2023-07-15
abreubo01,Gold Glove,2005,NL,,OF
abreubo01,Player of the Month,2005,NL,,May
abreubo01,Player of the Month,2009,AL,,July
abreubo01,Player of the Week,2001,NL,,Week of 2001-06-02
abreubo01,Player of the Week,2004,NL,,Week of 2004-07-03
abreubo01,Player of the Week,2005,NL,,Week of 2005-05-14
abreubo01,Player of the Week,2010,AL,,Week of 2010-08-15
abreubo01,Silver Slugger,2004,NL,,OF
abreujo02,All-MLB Team - Second Team,2020,ML,,1B
abreujo02,Hank Aaron Award,2020,AL,,
abreujo02,MLB Players Choice Outstanding Player,2020,AL,,
abreujo02,MLB Players Choice Outstanding Rookie,2014,AL,,
abreujo02,Most Valuable Player,2020,AL,,
abreujo02,Player of the Month,2014,AL,,April
abreujo02,Player of the Month,2014,AL,,July
abreujo02,Player of the Month,2020,AL,,August
abreujo02,Player of the Month,2021,AL,,August
abreujo02,Player of the Week,2014,AL,Y,Week of 2014-04-27
abreujo02,Player of the Week,2015,AL,Y,Week of 2015-08-02
abreujo02,Player of the Week,2015,AL,Y,Week of 2015-09-20
abreujo02,Player of the Week,2017,AL,,Week of 2017-05-27
abreujo02,Player of the Week,2020,AL,,Week of 2020-08-22
abreujo02,Player of the Week,2021,AL,,Week of 2021-05-29
abreujo02,Rookie of the Month,2014,AL,,April
abreujo02,Rookie of the Month,2014,AL,,July
abreujo02,Rookie of the Month,2014,AL,,June
abreujo02,Rookie of the Year,2014,AL,,
abreujo02,Silver Slugger,2014,AL,,1B
abreujo02,Silver Slugger,2018,AL,,1B
abreujo02,Silver Slugger,2020,AL,,1B
abreujo02,This Year in Baseball Rookie of the Year,2014,ML,,MLB.com GIBBY
abreujo02,TSN All-Star,2020,AL,,1B
abreujo02,TSN All-Star,2022,AL,,1B
abreujo02,TSN Major League Player of the Year,2020,ML,,
abreujo02,TSN Rookie of the Year,2014,AL,,
abreuwi02,Gold Glove,2024,AL,,RF
abreuwi02,Gold Glove,2025,AL,,RF
acunaro01,All-MLB Team - First Team,2023,ML,,OF
acunaro01,All-MLB Team - Second Team,2019,ML,,OF
acunaro01,All-MLB Team - Second Team,2020,ML,,OF
acunaro01,Comeback Player of the Year,2025,NL,,
acunaro01,Hank Aaron Award,2023,NL,,
acunaro01,MLB Players Choice Comeback Player,2022,NL,,
acunaro01,MLB Players Choice Outstanding Player,2023,NL,,
acunaro01,MLB Players Choice Outstanding Rookie,2018,NL,,
acunaro01,MLB Players Choice Player of the Year,2023,ML,,
acunaro01,Most Valuable Player,2023,NL,,
acunaro01,Player of the Month,2021,NL,,April
acunaro01,Player of the Month,2023,NL,,April
acunaro01,Player of the Month,2023,NL,,June
acunaro01,Player of the Month,2023,NL,,September
acunaro01,Player of the Week,2018,NL,,Week of 2018-08-18
acunaro01,Player of the Week,2019,NL,,Week of 2019-04-13
acunaro01,Player of the Week,2021,NL,,Week of 2021-04-17
acunaro01,Player of the Week,2023,NL,,Week of 2023-07-01
acunaro01,Player of the Week,2025,NL,,Week of 2025-06-14
acunaro01,Rookie of the Month,2018,NL,,August
acunaro01,Rookie of the Year,2018,NL,,
acunaro01,Silver Slugger,2019,NL,,OF
acunaro01,Silver Slugger,2020,NL,,OF
acunaro01,Silver Slugger,2023,NL,,OF
acunaro01,TSN All-Star,2018,NL,,OF
acunaro01,TSN All-Star,2019,NL,,OF
acunaro01,TSN All-Star,2020,NL,,OF
acunaro01,TSN All-Star,2023,NL,,OF
acunaro01,TSN Major League Player of the Year,2023,ML,,
acunaro01,TSN Rookie of the Year,2018,NL,,
adamewi01,Player of the Week,2021,NL,,Week of 2021-07-17
adamewi01,Player of the Week,2022,NL,,Week of 2022-04-30
adamewi01,Player of the Week,2024,NL,,Week of 2024-06-01
adelljo01,Player of the Week,2025,AL,,Week of 2025-09-06
affelje01,This Year in Baseball Setup Man of the Year,2009,ML,,MLB.com GIBBY
ahmedni01,Gold Glove,2018,NL,,SS
ahmedni01,Gold Glove,2019,NL,,SS
ahmedni01,Player of the Month,2019,NL,Y,August
albieoz01,All-MLB Team - Second Team,2021,ML,,2B
albieoz01,All-MLB Team - Second Team,2023,ML,,2B
albieoz01,Player of the Week,2021,NL,,Week of 2021-07-03
albieoz01,Silver Slugger,2019,NL,,2B
albieoz01,Silver Slugger,2021,NL,,2B
albieoz01,TSN All-Star,2021,NL,,2B
albieoz01,TSN All-Star,2023,NL,,2B
alcansa01,All-MLB Team - First Team,2022,ML,,SP
alcansa01,Cy Young Award,2022,NL,,
alcansa01,MLB Players Choice Outstanding Pitcher,2022,NL,,
alcansa01,Pitcher of the Month,2022,NL,,June
alcansa01,Player of the Week,2022,NL,,Week of 2022-05-21
alcansa01,TSN All-Star,2022,NL,,SP
alcansa01,TSN Pitcher of the Year,2022,NL,,
alfonan01,Reliever of the Year Award,2000,NL,,
alfonan01,TSN Fireman of the Year,2000,NL,,
allenco01,Reliever of the Month,2017,AL,,April
alomaro01,Gold Glove,2000,AL,,2B
alomaro01,Gold Glove,2001,AL,,2B
alomaro01,Silver Slugger,2000,AL,,2B
alomaro01,TSN All-Star,2000,AL,,2B
alonspe01,All-MLB Team - First Team,2019,ML,,1B
alonspe01,MLB Players Choice Outstanding Rookie,2019,NL,,
alonspe01,Player of the Week,2019,NL,,Week of 2019-06-22
alonspe01,Player of the Week,2022,NL,Y,Week of 2022-09-24
